Movie,ReleaseYear,Director,Duration,Budget,Gross,UserReviews,CriticReviews,IMDBVotes,IMDBScore,InflationTo2016,BudgetInf,GrossInf
Walk the Line,2005,James Mangold,153,28000000,119518352,815,291,188637,7.9,1.23,34440000,147007573
War of the Worlds,2005,Steven Spielberg,116,132000000,234277056,2741,401,334345,6.5,1.23,162360000,288160778.9
Winter Passing,2005,Adam Rapp,98,3500000,101228,53,50,7228,6.4,1.23,4305000,124510.44
xXx: State of the Union,2005,Lee Tamahori,101,87000000,26082914,213,77,51349,4.3,1.23,107010000,32081984.22
Zathura: A Space Adventure,2005,Jon Favreau,101,65000000,28045540,202,136,67707,6.1,1.23,79950000,34496014.2
300,2006,Zack Snyder,117,65000000,210592590,2073,460,607235,7.7,1.19,77350000,250605182.1
10th & Wolf,2006,Robert Moresco,107,8000000,53481,34,26,5557,6.4,1.19,9520000,63642.39
A Good Year,2006,Ridley Scott,117,35000000,7458269,196,147,70698,6.9,1.19,41650000,8875340.11
A Prairie Home Companion,2006,Robert Altman,105,10000000,20338609,280,211,19655,6.8,1.19,11900000,24202944.71
A Scanner Darkly,2006,Richard Linklater,100,8700000,5480996,293,232,89383,7.1,1.19,10353000,6522385.24
Akeelah and the Bee,2006,Doug Atchison,112,7000000,18811135,172,95,15337,7.5,1.19,8330000,22385250.65
Alone with Her,2006,Eric Nicholas,78,1000000,10018,31,71,3228,6.1,1.19,1190000,11921.42
American Dreamz,2006,Paul Weitz,107,19000000,7156725,217,153,22639,5.5,1.19,22610000,8516502.75
An Inconvenient Truth,2006,Davis Guggenheim,96,1500000,23808111,504,372,67654,7.5,1.19,1785000,28331652.09
Apocalypto,2006,Mel Gibson,139,40000000,50859889,1043,283,236000,7.8,1.19,47600000,60523267.91
Aquamarine,2006,Elizabeth Allen Rosenbaum,104,12000000,18595716,150,66,30462,5.3,1.19,14280000,22128902.04
ATL,2006,Chris Robinson,105,7000000,21160089,92,54,8522,6,1.19,8330000,25180505.91
Beer League,2006,Frank Sebastiano,86,2800000,475000,53,20,6930,6,1.19,3332000,565250
Beerfest,2006,Jay Chandrasekhar,110,17500000,19179969,177,91,54710,6.3,1.19,20825000,22824163.11
Bella,2006,Alejandro Monteverde,91,3300000,8108247,174,60,9607,7.4,1.19,3927000,9648813.93
Big Momma's House 2,2006,John Whitesell,99,40000000,70163652,82,65,31968,4.6,1.19,47600000,83494745.88
Black Christmas,2006,Glen Morgan,94,9000000,16235293,278,186,19918,4.5,1.19,10710000,19319998.67
Black Snake Moan,2006,Craig Brewer,116,15000000,9396487,200,197,52421,7,1.19,17850000,11181819.53
Bobby,2006,Emilio Estevez,112,14000000,11204499,270,195,38142,7,1.19,16660000,13333353.81
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,Larry Charles,82,18000000,128505958,1198,343,297014,7.3,1.19,21420000,152922090
Cars,2006,John Lasseter,117,120000000,244052771,584,256,263853,7.2,1.19,142800000,290422797.5
Charlotte's Web,2006,Gary Winick,97,85000000,82506325,102,120,27838,6.4,1.19,101150000,98182526.75
Children of Men,2006,Alfonso Cuarón,109,76000000,35286428,1206,372,361767,7.9,1.19,90440000,41990849.32
Clerks II,2006,Kevin Smith,97,5000000,24138847,472,174,114797,7.4,1.19,5950000,28725227.93
Click,2006,Frank Coraci,107,70000000,137340146,685,173,246492,6.4,1.19,83300000,163434773.7
Come Early Morning,2006,Joey Lauren Adams,97,6000000,117560,29,36,2330,6.2,1.19,7140000,139896.4
Copying Beethoven,2006,Agnieszka Holland,104,11000000,352786,86,78,11132,6.8,1.19,13090000,419815.34
Crank,2006,Mark Neveldine,93,12000000,27829874,444,170,196422,7,1.19,14280000,33117550.06
Crossover,2006,Preston A. Whitmore II,95,5600000,7009668,36,25,8707,2.1,1.19,6664000,8341504.92
Curious George,2006,Matthew O'Callaghan,78,50000000,58336565,118,87,12845,6.6,1.19,59500000,69420512.35
Date Movie,2006,Aaron Seltzer,85,20000000,48546578,613,99,50415,2.7,1.19,23800000,57770427.82
Deck the Halls,2006,John Whitesell,93,51000000,35092918,110,71,15740,4.9,1.19,60690000,41760572.42
DOA: Dead or Alive,2006,Corey Yuen,87,21000000,480314,180,110,38503,4.8,1.19,24990000,571573.66
Doogal,2006,Dave Borthwick,77,20000000,7382993,114,31,3851,2.8,1.19,23800000,8785761.67
Dreamgirls,2006,Bill Condon,130,70000000,103338338,503,241,55901,6.5,1.19,83300000,122972622.2
Eight Below,2006,Frank Marshall,120,40000000,81593527,263,118,48806,7.3,1.19,47600000,97096297.13
Employee of the Month,2006,Greg Coolidge,103,12000000,28435406,151,85,37681,5.5,1.19,14280000,33838133.14
Eragon,2006,Stefen Fangmeier,104,100000000,75030163,1690,170,108076,5.1,1.19,119000000,89285893.97
Eye of the Dolphin,2006,Michael D. Sellers,100,2500000,71904,18,18,806,5.7,1.19,2975000,85565.76
Facing the Giants,2006,Alex Kendrick,111,100000,10174663,382,31,12399,6.7,1.19,119000,12107848.97
Factory Girl,2006,George Hickenlooper,99,7000000,1654367,106,117,18355,6.4,1.19,8330000,1968696.73
Failure to Launch,2006,Tom Dey,95,50000000,88658172,242,143,58412,5.6,1.19,59500000,105503224.7
Firewall,2006,Richard Loncraine,105,50000000,48745150,306,171,50170,5.8,1.19,59500000,58006728.5
Flags of Our Fathers,2006,Clint Eastwood,135,90000000,33574332,415,279,101221,7.1,1.19,107100000,39953455.08
Flicka,2006,Michael Mayer,95,15000000,20998709,76,46,6095,6.2,1.19,17850000,24988463.71
For Your Consideration,2006,Christopher Guest,86,12000000,5542025,150,144,12197,6.3,1.19,14280000,6595009.75
Friends with Money,2006,Nicole Holofcener,88,6500000,13367101,166,111,19715,5.9,1.19,7735000,15906850.19
Fur: An Imaginary Portrait of Diane Arbus,2006,Steven Shainberg,122,16800000,220914,97,105,13239,6.5,1.19,19992000,262887.66
Glory Road,2006,James Gartner,118,30000000,42643187,145,95,34910,7.2,1.19,35700000,50745392.53
Grandma's Boy,2006,Nicholaus Goossen,90,5000000,6088249,202,61,67853,7,1.19,5950000,7245016.31
Gridiron Gang,2006,Phil Joanou,125,30000000,38432823,134,85,33067,6.9,1.19,35700000,45735059.37
Half Nelson,2006,Ryan Fleck,106,700000,2694973,189,208,70885,7.2,1.19,833000,3207017.87
Happily N'Ever After,2006,Paul Bolger,75,47000000,15519841,71,93,8693,4.5,1.19,55930000,18468610.79
Happy Feet,2006,George Miller,108,100000000,197992827,548,206,132501,6.5,1.19,119000000,235611464.1
Hoot,2006,Wil Shriner,91,15000000,8080116,66,49,6562,5.6,1.19,17850000,9615338.04
I Want Someone to Eat Cheese With,2006,Jeff Garlin,80,1500000,194568,28,32,2963,6.2,1.19,1785000,231535.92
Ice Age: The Meltdown,2006,Carlos Saldanha,115,80000000,195329763,253,164,194249,6.9,1.19,95200000,232442418
Idlewild,2006,Bryan Barber,121,15000000,12549485,91,81,4603,6.2,1.19,17850000,14933887.15
Infamous,2006,Douglas McGrath,118,13000000,1150403,102,129,14143,7.1,1.19,15470000,1368979.57
Inside Man,2006,Spike Lee,129,45000000,88504640,646,230,273108,7.6,1.19,53550000,105320521.6
Ira & Abby,2006,Robert Cary,101,3500000,220234,24,30,1950,6.5,1.19,4165000,262078.46
Jackass Number Two,2006,Jeff Tremaine,92,11500000,72755517,196,104,56595,7.1,1.19,13685000,86579065.23
Journey from the Fall,2006,Ham Tran,135,1592000,638951,19,15,775,7.4,1.19,1894480,760351.69
Just My Luck,2006,Donald Petrie,103,28000000,17324744,149,98,44103,5.3,1.19,33320000,20616445.36
Keeping Up with the Steins,2006,Scott Marshall,90,5000000,4328294,41,43,2719,5.4,1.19,5950000,5150669.86
Lady in the Water,2006,M. Night Shyamalan,110,70000000,42272747,1040,284,78635,5.6,1.19,83300000,50304568.93
Larry the Cable Guy: Health Inspector,2006,Trent Cooper,89,4000000,15655665,112,37,9104,3.1,1.19,4760000,18630241.35
Last Holiday,2006,Wayne Wang,112,45000000,38360195,116,99,21215,6.4,1.19,53550000,45648632.05
Let's Go to Prison,2006,Bob Odenkirk,90,4000000,4613815,58,46,19622,6,1.19,4760000,5490439.85
Letters from Iwo Jima,2006,Clint Eastwood,141,19000000,13753931,316,251,132149,7.9,1.19,22610000,16367177.89
Little Children,2006,Todd Field,137,26000000,5459824,320,251,92781,7.6,1.19,30940000,6497190.56
Little Miss Sunshine,2006,Jonathan Dayton,101,8000000,59889948,889,270,355810,7.9,1.19,9520000,71269038.12
Littleman,2006,Keenen Ivory Wayans,98,64000000,58255287,187,78,39471,4.3,1.19,76160000,69323791.53
Love's Abiding Joy,2006,Michael Landon Jr.,87,3000000,252726,18,5,1289,7.2,1.19,3570000,300743.94
Madea's Family Reunion,2006,Tyler Perry,107,6000000,63231524,137,46,8962,5,1.19,7140000,75245513.56
Man of the Year,2006,Barry Levinson,115,20000000,37442180,236,111,28005,6.2,1.19,23800000,44556194.2
Marie Antoinette,2006,Sofia Coppola,123,40000000,15962471,619,260,79892,6.4,1.19,47600000,18995340.49
Mission: Impossible III,2006,J.J. Abrams,124,150000000,133382309,871,310,256695,6.9,1.19,178500000,158724947.7
Monster House,2006,Gil Kenan,91,75000000,73661010,229,190,71137,6.6,1.19,89250000,87656601.9
My Super Ex-Girlfriend,2006,Ivan Reitman,95,30000000,22526144,203,147,53884,5.1,1.19,35700000,26806111.36
Night at the Museum,2006,Shawn Levy,108,110000000,250863268,444,179,234480,6.4,1.19,130900000,298527288.9
Old Joy,2006,Kelly Reichardt,76,300000,255352,57,88,4423,6.7,1.19,357000,303868.88
One Night with the King,2006,Michael O. Sajbel,123,20000000,13391174,177,36,5796,6.3,1.19,23800000,15935497.06
Open Season,2006,Roger Allers,83,85000000,84303558,100,107,65270,6.2,1.19,101150000,100321234
Over the Hedge,2006,Tim Johnson,83,80000000,155019340,250,166,127345,6.8,1.19,95200000,184473014.6
Phat Girlz,2006,Nnegest Likké,99,3000000,7059537,101,37,8279,3,1.19,3570000,8400849.03
Pirates of the Caribbean: Dead Man's Chest,2006,Gore Verbinski,151,225000000,423032628,1832,313,522040,7.3,1.19,267750000,503408827.3
Poseidon,2006,Wolfgang Petersen,98,160000000,60655503,629,231,82380,5.6,1.19,190400000,72180048.57
Poultrygeist: Night of the Chicken Dead,2006,Lloyd Kaufman,103,500000,23000,58,88,5931,6.2,1.19,595000,27370
Pulse,2006,Jim Sonzero,90,20000000,20259297,258,148,24969,4.7,1.19,23800000,24108563.43
Quinceañera,2006,Richard Glatzer,90,400000,1689999,48,69,3675,7.1,1.19,476000,2011098.81
Rescue Dawn,2006,Werner Herzog,120,10000000,5484375,205,198,84641,7.3,1.19,11900000,6526406.25
Rocky Balboa,2006,Sylvester Stallone,139,24000000,70269171,962,285,162130,7.2,1.19,28560000,83620313.49
Running with Scissors,2006,Ryan Murphy,122,12000000,6754898,188,132,20000,6.2,1.19,14280000,8038328.62
Saw III,2006,Darren Lynn Bousman,121,10000000,80150343,614,210,142115,6.2,1.19,11900000,95378908.17
Scary Movie 4,2006,David Zucker,89,45000000,90703745,410,151,93748,5.1,1.19,53550000,107937456.6
School for Scoundrels,2006,Todd Phillips,108,20000000,17803796,97,110,26100,5.9,1.19,23800000,21186517.24
She's the Man,2006,Andy Fickman,105,20000000,33687630,261,91,116762,6.4,1.19,23800000,40088279.7
Sherrybaby,2006,Laurie Collyer,96,2000000,198407,78,78,10282,6.6,1.19,2380000,236104.33
Shortbus,2006,John Cameron Mitchell,101,2000000,1984378,206,160,27346,6.5,1.19,2380000,2361409.82
Special,2006,Hal Haberman,81,1000000,6387,37,56,4862,6.9,1.19,1190000,7600.53
Stay Alive,2006,William Brent Bell,75,9000000,23078294,281,112,25870,5.1,1.19,10710000,27463169.86
Step Up,2006,Anne Fletcher,104,12000000,65269010,271,107,90938,6.5,1.19,14280000,77670121.9
Stranger Than Fiction,2006,Marc Forster,113,38000000,40137776,529,253,186977,7.6,1.19,45220000,47763953.44
Superman Returns,2006,Bryan Singer,169,209000000,200069408,2367,434,240396,6.1,1.19,248710000,238082595.5
Take the Lead,2006,Liz Friedlander,118,30000000,34703228,127,101,21767,6.7,1.19,35700000,41296841.32
Talladega Nights: The Ballad of Ricky Bobby,2006,Adam McKay,122,73000000,148213377,437,164,130776,6.6,1.19,86870000,176373918.6
The Ant Bully,2006,John A. Davis,88,50000000,28133159,70,105,30055,5.9,1.19,59500000,33478459.21
The Astronaut Farmer,2006,Michael Polish,104,13000000,10996440,128,113,19707,6.3,1.19,15470000,13085763.6
The Benchwarmers,2006,Dennis Dugan,75,33000000,57651794,209,90,40651,5.6,1.19,39270000,68605634.86
The Break-Up,2006,Peyton Reed,106,52000000,118683135,483,183,102167,5.8,1.19,61880000,141232930.7
The Covenant,2006,Renny Harlin,97,20000000,23292105,334,120,39541,5.3,1.19,23800000,27717604.95
The Da Vinci Code,2006,Ron Howard,174,125000000,217536138,1966,294,314253,6.6,1.19,148750000,258868004.2
The Departed,2006,Martin Scorsese,151,90000000,132373442,2054,352,873649,8.5,1.19,107100000,157524396
The Devil Wears Prada,2006,David Frankel,109,35000000,124732962,631,208,286178,6.8,1.19,41650000,148432224.8
The Fast and the Furious: Tokyo Drift,2006,Justin Lin,104,85000000,62494975,378,158,179500,6,1.19,101150000,74369020.25
The Fountain,2006,Darren Aronofsky,96,35000000,10139254,915,274,190990,7.3,1.19,41650000,12065712.26
The Good German,2006,Steven Soderbergh,105,32000000,1304837,175,183,21481,6.1,1.19,38080000,1552756.03
The Grudge 2,2006,Takashi Shimizu,137,20000000,39143839,284,131,38658,5,1.19,23800000,46581168.41
The Hills Have Eyes,2006,Alexandre Aja,108,15000000,41777564,855,265,129719,6.4,1.19,17850000,49715301.16
The Hoax,2006,Lasse Hallström,116,25000000,7156933,74,142,14581,6.7,1.19,29750000,8516750.27
The Holiday,2006,Nancy Meyers,138,85000000,63224849,483,157,182757,6.9,1.19,101150000,75237570.31
The Illusionist,2006,Neil Burger,110,16000000,39825798,645,236,295375,7.6,1.19,19040000,47392699.62
The Lake House,2006,Alejandro Agresti,99,40000000,52320979,548,175,114321,6.8,1.19,47600000,62261965.01
The Marine,2006,John Bonito,92,20000000,18843314,284,78,27486,4.7,1.19,23800000,22423543.66
The Nativity Story,2006,Catherine Hardwicke,101,30000000,37617947,203,122,8143,6.8,1.19,35700000,44765356.93
The Night Listener,2006,Patrick Stettner,81,4000000,7825820,156,125,13086,5.9,1.19,4760000,9312725.8
The Pink Panther,2006,Shawn Levy,93,65000000,82226474,424,147,65499,5.6,1.19,77350000,97849504.06
The Prestige,2006,Christopher Nolan,130,40000000,53082743,1100,341,844052,8.5,1.19,47600000,63168464.17
The Pursuit of Happyness,2006,Gabriele Muccino,117,55000000,162586036,611,201,338383,8,1.19,65450000,193477382.8
The Sentinel,2006,Clark Johnson,107,60000000,36279230,213,161,42144,6.1,1.19,71400000,43172283.7
The Shaggy Dog,2006,Brian Robbins,98,50000000,61112916,83,76,14888,4.4,1.19,59500000,72724370.04
The Texas Chainsaw Massacre: The Beginning,2006,Jonathan Liebesman,83,16000000,39511038,366,196,56269,5.9,1.19,19040000,47018135.22
The Trials of Darryl Hunt,2006,Ricki Stern,106,200000,1111,10,11,771,7.7,1.19,238000,1322.09
The Ultimate Gift,2006,Michael O. Sajbel,114,9000000,3420871,81,46,14100,7.4,1.19,10710000,4070836.49
Ultraviolet,2006,Kurt Wimmer,94,30000000,18500966,830,158,70341,4.4,1.19,35700000,22016149.54
Unaccompanied Minors,2006,Paul Feig,90,26000000,16647384,56,73,8398,5.1,1.19,30940000,19810386.96
Underworld: Evolution,2006,Len Wiseman,102,50000000,62318875,502,206,156225,6.8,1.19,59500000,74159461.25
United 93,2006,Paul Greengrass,111,15000000,31471430,828,279,83374,7.6,1.19,17850000,37451001.7
Valley of the Heart's Delight,2006,Tim Boxell,100,2500000,118666,3,3,91,6.6,1.19,2975000,141212.54
We Are Marshall,2006,McG,131,65000000,43532294,175,96,46951,7.1,1.19,77350000,51803429.86
When a Stranger Calls,2006,Simon West,87,15000000,47860214,468,152,34711,5,1.19,17850000,56953654.66
Who Killed the Electric Car?,2006,Chris Paine,92,1000000,1677838,155,87,11283,7.7,1.19,1190000,1996627.22
Wordplay,2006,Patrick Creadon,94,100000,3117666,43,88,3394,7.4,1.19,119000,3710022.54
World Trade Center,2006,Oliver Stone,129,63000000,70236496,564,242,67395,6,1.19,74970000,83581430.24
Wristcutters: A Love Story,2006,Goran Dukic,88,1000000,104077,88,117,46076,7.4,1.19,1190000,123851.63
"You, Me and Dupree",2006,Anthony Russo,110,54000000,75604320,195,136,68417,5.6,1.19,64260000,89969140.8
Zoom,2006,Peter Hewitt,83,35000000,11631245,113,63,15015,4.2,1.19,41650000,13841181.55
1408,2007,Mikael Håfström,114,25000000,71975611,580,314,209396,6.8,1.16,29000000,83491708.76
3:10 to Yuma,2007,James Mangold,122,55000000,53574088,560,295,237872,7.8,1.16,63800000,62145942.08
30 Days of Night,2007,David Slade,113,32000000,39568996,527,304,138435,6.6,1.16,37120000,45900035.36
88 Minutes,2007,Jon Avnet,108,30000000,16930884,262,158,65628,5.9,1.16,34800000,19639825.44
A Mighty Heart,2007,Michael Winterbottom,108,16000000,9172810,118,190,24150,6.7,1.16,18560000,10640459.6
Across the Universe,2007,Julie Taymor,133,45000000,24343673,524,156,91863,7.4,1.16,52200000,28238660.68
Aliens vs. Predator: Requiem,2007,Colin Strause,102,40000000,41797066,998,211,92789,4.7,1.16,46400000,48484596.56
Alvin and the Chipmunks,2007,Tim Hill,92,60000000,217326336,146,131,57276,5.2,1.16,69600000,252098549.8
American Gangster,2007,Ridley Scott,176,100000000,130127620,458,300,324671,7.8,1.16,116000000,150948039.2
Aqua Teen Hunger Force Colon Movie Film for Theaters,2007,Matt Maiellaro,86,750000,5518918,73,82,12160,6.9,1.16,870000,6401944.88
August Rush,2007,Kirsten Sheridan,114,30000000,31655091,364,148,87331,7.5,1.16,34800000,36719905.56
Awake,2007,Joby Harold,84,8600000,14373825,196,133,63216,6.5,1.16,9976000,16673637
Because I Said So,2007,Michael Lehmann,102,39000000,42640890,184,110,32412,5.6,1.16,45240000,49463432.4
Bee Movie,2007,Steve Hickner,91,150000000,126597121,206,194,105902,6.2,1.16,174000000,146852660.4
Beowulf,2007,Robert Zemeckis,115,150000000,82161969,505,287,142440,6.3,1.16,174000000,95307884.04
Blades of Glory,2007,Josh Gordon,93,61000000,118153533,246,191,129995,6.3,1.16,70760000,137058098.3
Blonde Ambition,2007,Scott Marshall,93,10000000,5561,34,20,4995,3.9,1.16,11600000,6450.76
Blood and Chocolate,2007,Katja von Garnier,98,15000000,3525161,190,106,15388,5.5,1.16,17400000,4089186.76
Bridge to Terabithia,2007,Gabor Csupo,96,17000000,82234139,522,181,110390,7.2,1.16,19720000,95391601.24
Brooklyn Rules,2007,Michael Corrente,99,8000000,398420,48,41,5049,6.4,1.16,9280000,462167.2
Certifiably Jonathan,2007,James David Pasternak,85,1200000,7826,2,17,132,6.2,1.16,1392000,9078.16
Charlie Bartlett,2007,Jon Poll,97,12000000,3950294,124,146,56654,7,1.16,13920000,4582341.04
Charlie Wilson's War,2007,Mike Nichols,102,75000000,66636385,289,269,88451,7.1,1.16,87000000,77298206.6
Code Name: The Cleaner,2007,Les Mayfield,91,20000000,8104069,26,53,9785,4.5,1.16,23200000,9400720.04
Daddy Day Camp,2007,Fred Savage,89,6000000,13235267,32,52,12339,2.9,1.16,6960000,15352909.72
Death at a Funeral,2007,Frank Oz,87,9000000,8579684,199,168,89547,7.4,1.16,10440000,9952433.44
Death Sentence,2007,James Wan,111,20000000,9525276,299,166,60156,6.8,1.16,23200000,11049320.16
Diary of the Dead,2007,George A. Romero,95,2000000,952620,332,280,40800,5.7,1.16,2320000,1105039.2
Disturbia,2007,D.J. Caruso,105,20000000,80050171,491,253,186984,6.9,1.16,23200000,92858198.36
Eastern Promises,2007,David Cronenberg,96,25000000,17114882,398,356,189249,7.7,1.16,29000000,19853263.12
Enchanted,2007,Kevin Lima,107,85000000,127706877,399,222,142496,7.1,1.16,98600000,148139977.3
Epic Movie,2007,Jason Friedberg,93,20000000,39737645,666,112,89687,2.3,1.16,23200000,46095668.2
Evan Almighty,2007,Tom Shadyac,96,175000000,100289690,257,186,115099,5.4,1.16,203000000,116336040.4
Fantastic 4: Rise of the Silver Surfer,2007,Tim Story,92,130000000,131920333,436,262,213275,5.6,1.16,150800000,153027586.3
Finishing the Game: The Search for a New Bruce Lee,2007,Justin Lin,84,500000,52850,12,35,1656,6.2,1.16,580000,61306
Funny Games,2007,Michael Haneke,111,15000000,1294640,436,250,69569,6.5,1.16,17400000,1501782.4
Georgia Rule,2007,Garry Marshall,113,20000000,18882880,125,88,20539,5.9,1.16,23200000,21904140.8
Ghost Rider,2007,Mark Steven Johnson,123,110000000,115802596,681,276,182661,5.2,1.16,127600000,134331011.4
Good Luck Chuck,2007,Mark Helfrich,101,25000000,35000629,150,127,74622,5.6,1.16,29000000,40600729.64
Gracie,2007,Davis Guggenheim,95,9000000,2955039,27,65,3624,6.2,1.16,10440000,3427845.24
Grindhouse,2007,Robert Rodriguez,189,53000000,25031037,532,250,155496,7.6,1.16,61480000,29036002.92
Hairspray,2007,Adam Shankman,117,75000000,118823091,401,219,98693,6.7,1.16,87000000,137834785.6
Hostel: Part II,2007,Eli Roth,94,10000000,17544812,384,252,69989,5.4,1.16,11600000,20351981.92
Hot Rod,2007,Akiva Schaffer,88,25300000,13920741,149,111,59900,6.7,1.16,29348000,16148059.56
I Am Legend,2007,Francis Lawrence,104,150000000,256386216,1413,323,530870,7.2,1.16,174000000,297408010.6
I Think I Love My Wife,2007,Chris Rock,94,11000000,12550242,55,97,13866,5.5,1.16,12760000,14558280.72
I'm Not There.,2007,Todd Haynes,135,20000000,4001121,230,231,48346,7,1.16,23200000,4641300.36
In the Land of Women,2007,Jon Kasdan,97,10000000,11043445,74,81,27689,6.5,1.16,11600000,12810396.2
In the Valley of Elah,2007,Paul Haggis,121,23000000,6777589,224,232,60115,7.2,1.16,26680000,7862003.24
Into the Wild,2007,Sean Penn,148,15000000,18352454,760,274,426359,8.2,1.16,17400000,21288846.64
Juno,2007,Jason Reitman,96,7500000,143492840,881,387,414345,7.5,1.16,8700000,166451694.4
Kiss the Bride,2007,C. Jay Cox,100,500000,31937,10,9,1358,5.7,1.16,580000,37046.92
Knocked Up,2007,Judd Apatow,133,30000000,148734225,559,251,298590,7,1.16,34800000,172531701
Lars and the Real Girl,2007,Craig Gillespie,106,12000000,5949693,299,226,114762,7.4,1.16,13920000,6901643.88
License to Wed,2007,Ken Kwapis,91,35000000,43792641,119,120,32157,5.3,1.16,40600000,50799463.56
Lions for Lambs,2007,Robert Redford,92,35000000,14998070,298,227,41170,6.2,1.16,40600000,17397761.2
Live Free or Die Hard,2007,Len Wiseman,129,110000000,134520804,782,354,336235,7.2,1.16,127600000,156044132.6
Love in the Time of Cholera,2007,Mike Newell,139,45000000,4584886,115,115,19114,6.4,1.16,52200000,5318467.76
Lucky You,2007,Curtis Hanson,124,55000000,5755286,63,106,18310,5.9,1.16,63800000,6676131.76
Married Life,2007,Ira Sachs,91,12000000,1506998,50,121,8014,6.3,1.16,13920000,1748117.68
Martian Child,2007,Menno Meyjes,106,27000000,7486906,71,118,17436,6.8,1.16,31320000,8684810.96
Michael Clayton,2007,Tony Gilroy,119,25000000,49024969,363,299,133367,7.3,1.16,29000000,56868964.04
Music and Lyrics,2007,Marc Lawrence,95,40000000,50562555,291,175,81334,6.5,1.16,46400000,58652563.8
My Name Is Bruce,2007,Bruce Campbell,84,1500000,173066,88,100,21379,6.3,1.16,1740000,200756.56
Nancy Drew,2007,Andrew Fleming,99,20000000,25584685,102,93,15877,5.9,1.16,23200000,29678234.6
No Country for Old Men,2007,Ethan Coen,122,25000000,74273505,1518,488,612060,8.1,1.16,29000000,86157265.8
No End in Sight,2007,Charles Ferguson,102,2000000,1430185,55,79,7314,8.3,1.16,2320000,1659014.6
No Reservations,2007,Scott Hicks,104,28000000,43097652,128,171,59068,6.3,1.16,32480000,49993276.32
Ocean's Thirteen,2007,Steven Soderbergh,122,85000000,117144465,288,238,256928,6.9,1.16,98600000,135887579.4
P.S. I Love You,2007,Richard LaGravenese,126,30000000,53680848,243,131,167967,7.1,1.16,34800000,62269783.68
Paranormal Activity,2007,Oren Peli,84,15000,107917283,1189,409,184824,6.3,1.16,17400,125184048.3
Pirates of the Caribbean: At World's End,2007,Gore Verbinski,169,300000000,309404152,1238,302,471220,7.1,1.16,348000000,358908816.3
Premonition,2007,Mennan Yapo,96,20000000,47852604,337,184,62364,5.9,1.16,23200000,55509020.64
Ratatouille,2007,Brad Bird,111,150000000,206435493,626,318,473887,8,1.16,174000000,239465171.9
Redacted,2007,Brian De Palma,90,5000000,65087,108,133,8824,6.2,1.16,5800000,75500.92
Reign Over Me,2007,Mike Binder,124,20000000,19661987,231,154,83786,7.5,1.16,23200000,22807904.92
Rendition,2007,Gavin Hood,122,27500000,9664316,197,131,47203,6.8,1.16,31900000,11210606.56
Reno 911!: Miami,2007,Robert Ben Garant,84,10000000,20339754,73,89,23928,5.9,1.16,11600000,23594114.64
Resurrecting the Champ,2007,Rod Lurie,112,13000000,3169424,59,104,18442,6.8,1.16,15080000,3676531.84
Rush Hour 3,2007,Brett Ratner,91,140000000,140080850,221,162,121084,6.2,1.16,162400000,162493786
Saw IV,2007,Darren Lynn Bousman,96,10000000,63270259,319,190,111087,5.9,1.16,11600000,73393500.44
September Dawn,2007,Christopher Cain,111,11000000,1066555,111,43,2618,5.8,1.16,12760000,1237203.8
Shooter,2007,Antoine Fuqua,124,61000000,46975183,338,198,256213,7.2,1.16,70760000,54491212.28
Shrek the Third,2007,Chris Miller,93,160000000,320706665,326,227,211971,6.1,1.16,185600000,372019731.4
Sicko,2007,Michael Moore,123,9000000,24530513,429,263,66610,8,1.16,10440000,28455395.08
Spider-Man 3,2007,Sam Raimi,156,258000000,336530303,1902,392,383071,6.2,1.16,299280000,390375151.5
Stomp the Yard,2007,Sylvain White,109,14000000,61356221,162,86,19505,5.2,1.16,16240000,71173216.36
Superbad,2007,Greg Mottola,119,20000000,121463226,555,256,422606,7.6,1.16,23200000,140897342.2
Surf's Up,2007,Ash Brannon,85,100000000,58867694,112,154,54077,6.8,1.16,116000000,68286525.04
Sydney White,2007,Joe Nussbaum,108,16500000,11702090,50,72,37700,6.3,1.16,19140000,13574424.4
Ta Ra Rum Pum,2007,Siddharth Anand,153,6000000,872643,37,16,2909,5.4,1.16,6960000,1012265.88
Taxi to the Dark Side,2007,Alex Gibney,53,1000000,274661,40,84,10564,7.7,1.16,1160000,318606.76
The Assassination of Jesse James by the Coward Robert Ford,2007,Andrew Dominik,160,30000000,3904982,415,273,136104,7.5,1.16,34800000,4529779.12
The Bourne Ultimatum,2007,Paul Greengrass,115,110000000,227137090,820,329,491077,8.1,1.16,127600000,263479024.4
The Brothers Solomon,2007,Bob Odenkirk,93,10000000,900926,46,51,9517,5.3,1.16,11600000,1045074.16
The Bucket List,2007,Rob Reiner,97,45000000,93452056,310,207,184795,7.4,1.16,52200000,108404385
The Game Plan,2007,Andy Fickman,110,22000000,90636983,83,112,44021,6.2,1.16,25520000,105138900.3
The Golden Compass,2007,Chris Weitz,113,180000000,70083519,666,251,149019,6.1,1.16,208800000,81296882.04
The Good Night,2007,Jake Paltrow,93,15000000,20380,39,50,7519,5.9,1.16,17400000,23640.8
The Great Debaters,2007,Denzel Washington,126,15000000,30226144,118,112,47626,7.6,1.16,17400000,35062327.04
The Hammer,2007,Charles Herman-Wurmfeld,88,850000,442638,23,73,5489,7.3,1.16,986000,513460.08
