Movie,ReleaseYear,Director,Duration,Budget,Gross,UserReviews,CriticReviews,IMDBVotes,IMDBScore,InflationTo2016,BudgetInf,GrossInf
Lethal Weapon 3,1992,Richard Donner,121,35000000,144731527,136,68,128010,6.7,1.71,59850000,247490911.2
Light Sleeper,1992,Paul Schrader,103,5000000,1100000,39,19,3665,6.8,1.71,8550000,1881000
Malcolm X,1992,Spike Lee,202,33000000,48169908,156,61,63923,7.7,1.71,56430000,82370542.68
Medicine Man,1992,John McTiernan,106,40000000,45500797,56,25,17443,6,1.71,68400000,77806362.87
Memoirs of an Invisible Man,1992,John Carpenter,99,40000000,14358033,66,40,17365,5.9,1.71,68400000,24552236.43
My Cousin Vinny,1992,Jonathan Lynn,120,11000000,52929168,201,54,82743,7.5,1.71,18810000,90508877.28
Patriot Games,1992,Phillip Noyce,117,45000000,83287363,137,47,81442,6.9,1.71,76950000,142421390.7
Radio Flyer,1992,Richard Donner,114,35000000,4651977,71,10,10410,6.9,1.71,59850000,7954880.67
Raising Cain,1992,Brian De Palma,91,12000000,21370057,80,33,9903,6,1.71,20520000,36542797.47
Reservoir Dogs,1992,Quentin Tarantino,99,1200000,2812029,931,173,664719,8.4,1.71,2052000,4808569.59
The Bodyguard,1992,Mick Jackson,129,25000000,121945720,126,48,89972,6.1,1.71,42750000,208527181.2
The Last of the Mohicans,1992,Michael Mann,117,40000000,72455275,382,89,113068,7.8,1.71,68400000,123898520.3
The Mighty Ducks,1992,Stephen Herek,100,10000000,50752337,46,22,44502,6.4,1.71,17100000,86786496.27
The Muppet Christmas Carol,1992,Brian Henson,89,12000000,27281507,147,75,33850,7.7,1.71,20520000,46651376.97
Unforgiven,1992,Clint Eastwood,131,14400000,101157447,495,131,277505,8.3,1.71,24624000,172979234.4
Wayne's World,1992,Penelope Spheeris,94,20000000,121697350,176,61,114610,7,1.71,34200000,208102468.5
Airborne,1993,Rob Bowman,91,2600000,2850263,70,9,5061,6.2,1.66,4316000,4731436.58
Alive,1993,Frank Marshall,120,32000000,36733909,112,43,38949,7.1,1.66,53120000,60978288.94
"Blood In, Blood Out",1993,Taylor Hackford,330,35000000,4496583,129,12,23181,8,1.66,58100000,7464327.78
Cliffhanger,1993,Renny Harlin,124,70000000,84049211,172,74,96096,6.4,1.66,116200000,139521690.3
Cool Runnings,1993,Jon Turteltaub,98,15000000,68856263,97,39,69733,6.9,1.66,24900000,114301396.6
Dazed and Confused,1993,Richard Linklater,102,6900000,7993039,408,152,120036,7.7,1.66,11454000,13268444.74
Excessive Force,1993,Jon Hess,87,3000000,1200000,23,19,922,5.1,1.66,4980000,1992000
Gettysburg,1993,Ron Maxwell,271,25000000,10769960,256,22,21940,7.7,1.66,41500000,17878133.6
Groundhog Day,1993,Harold Ramis,101,14600000,70906973,609,147,437418,8.1,1.66,24236000,117705575.2
Hocus Pocus,1993,Kenny Ortega,96,28000000,39514713,132,36,60494,6.7,1.66,46480000,65594423.58
Jason Goes to Hell: The Final Friday,1993,Adam Marcus,91,2500000,15935068,317,112,19331,4.3,1.66,4150000,26452212.88
Jurassic Park,1993,Steven Spielberg,127,63000000,356784000,895,308,613473,8.1,1.66,104580000,592261440
Last Action Hero,1993,John McTiernan,130,70000000,50016394,257,80,106528,6.2,1.66,116200000,83027214.04
Loaded Weapon 1,1993,Gene Quintano,84,8200000,27979400,72,19,37611,6.1,1.66,13612000,46445804
Menace II Society,1993,Albert Hughes,97,3500000,27900000,96,28,39508,7.5,1.66,5810000,46314000
Mrs. Doubtfire,1993,Chris Columbus,125,25000000,219200000,223,57,181380,6.9,1.66,41500000,363872000
Nowhere to Run,1993,Robert Harmon,94,15000000,22189039,55,25,17074,5.5,1.66,24900000,36833804.74
Only the Strong,1993,Sheldon Lettich,99,6000000,3273588,50,17,4195,6.7,1.66,9960000,5434156.08
Philadelphia,1993,Jonathan Demme,125,26000000,77324422,261,68,178731,7.7,1.66,43160000,128358540.5
Poetic Justice,1993,John Singleton,109,14000000,27515786,31,12,8904,5.9,1.66,23240000,45676204.76
RoboCop 3,1993,Fred Dekker,104,23500000,10696210,180,75,35018,3.9,1.66,39010000,17755708.6
Ruby in Paradise,1993,Victor Nunez,114,800000,1001437,28,11,2039,7.2,1.66,1328000,1662385.42
Schindler's List,1993,Steven Spielberg,185,22000000,96067179,1273,174,865020,8.9,1.66,36520000,159471517.1
Sugar Hill,1993,Leon Ichaso,123,10000000,18272447,35,14,3119,5.9,1.66,16600000,30332262.02
Teenage Mutant Ninja Turtles III,1993,Stuart Gillard,96,17000000,42660000,87,60,25086,4.8,1.66,28220000,70815600
The Adventures of Huck Finn,1993,Stephen Sommers,108,6500000,24103594,54,14,6384,6.2,1.66,10790000,40011966.04
The Age of Innocence,1993,Martin Scorsese,139,30000000,32000000,150,56,36267,7.2,1.66,49800000,53120000
The Firm,1993,Sydney Pollack,154,42000000,158348400,142,56,88844,6.8,1.66,69720000,262858344
The Fugitive,1993,Andrew Davis,130,44000000,183875760,270,119,213668,7.8,1.66,73040000,305233761.6
The Nutcracker,1993,Emile Ardolino,92,19000000,2119994,15,10,1153,5.7,1.66,31540000,3519190.04
The Pelican Brief,1993,Alan J. Pakula,141,45000000,100768056,89,43,59569,6.5,1.66,74700000,167274973
Tombstone,1993,George P. Cosmatos,134,25000000,56505065,439,84,95241,7.8,1.66,41500000,93798407.9
True Romance,1993,Tony Scott,121,13000000,12281500,460,122,163492,8,1.66,21580000,20387290
Warlock: The Armageddon,1993,Anthony Hickox,98,3000000,3902679,49,22,3943,5.3,1.66,4980000,6478447.14
What's Eating Gilbert Grape,1993,Lasse Hallström,118,11000000,9170214,292,80,171882,7.8,1.66,18260000,15222555.24
What's Love Got to Do with It,1993,Brian Gibson,118,15000000,39100956,59,19,13442,7.2,1.66,24900000,64907586.96
3 Ninjas Kick Back,1994,Charles T. Kanganis,93,20000000,11784000,26,5,6701,4.3,1.62,32400000,19090080
A Low Down Dirty Shame,1994,Keenen Ivory Wayans,100,10000000,29392418,26,8,3924,5.8,1.62,16200000,47615717.16
Ace Ventura: Pet Detective,1994,Tom Shadyac,78,12000000,72217000,242,61,216486,6.9,1.62,19440000,116991540
Baby's Day Out,1994,Patrick Read Johnson,99,50000000,16671505,78,22,33186,5.9,1.62,81000000,27007838.1
Beverly Hills Cop III,1994,John Landis,104,55000000,42610000,114,36,60293,5.5,1.62,89100000,69028200
