subject,riskyScenario,riskThoughts,stress,riskPerception,riskTaking,SR,IR,STAI
29,1,4.333333333,7,8,3,20,17,30
29,2,3,5,4,4,20,17,30
29,3,5,9,9,1,20,17,30
29,4,3,6,6,4,20,17,30
29,5,4.333333333,9,8,4,20,17,30
29,6,3,4,4,5,20,17,30
29,7,4,7,7,2,20,17,30
29,8,4.333333333,8,7,4,20,17,30
29,9,4,9,8,2,20,17,30
29,10,4,9,7,3,20,17,30
30,1,3.666666667,10,7,5,21,30,54
30,2,4,9,10,3,21,30,54
30,3,4.333333333,10,10,5,21,30,54
30,4,2,2,5,5,21,30,54
30,5,4.333333333,4,10,1,21,30,54
30,6,3.666666667,8,7,3,21,30,54
30,7,4.666666667,10,8,3,21,30,54
30,8,3.333333333,6,9,2,21,30,54
30,9,4,7,7,4,21,30,54
30,10,2.333333333,10,10,2,21,30,54
31,1,3.333333333,6,5,4,34,33,33
31,2,4,7,7,1,34,33,33
31,3,3,4,7,2,34,33,33
31,4,3,7,8,1,34,33,33
31,5,4.666666667,5,7,4,34,33,33
31,6,2.666666667,3,5,5,34,33,33
31,7,5,8,7,1,34,33,33
31,8,1.666666667,2,9,3,34,33,33
31,9,4.666666667,5,5,3,34,33,33
31,10,4.666666667,9,9,1,34,33,33
32,1,4,8,9,4,24,20,47
32,2,3,5,9,2,24,20,47
32,3,5,10,10,1,24,20,47
32,4,4,9,9,2,24,20,47
32,5,5,10,10,2,24,20,47
32,6,4.333333333,8,9,3,24,20,47
32,7,5,7,10,1,24,20,47
32,8,5,10,10,2,24,20,47
32,9,3.333333333,6,9,3,24,20,47
32,10,4.333333333,10,10,2,24,20,47
33,1,3,7,8,2,34,30,33
33,2,2,2,6,1,34,30,33
33,3,3,8,8,2,34,30,33
33,4,2.333333333,5,6,2,34,30,33
33,5,5,9,9,2,34,30,33
33,6,2.333333333,4,3,5,34,30,33
33,7,3.333333333,6,7,1,34,30,33
33,8,3.666666667,8,9,1,34,30,33
33,9,2.666666667,2,7,3,34,30,33
33,10,3.333333333,7,9,1,34,30,33
34,1,2,9,6,5,26,32,26
34,2,4,3,7,5,26,32,26
34,3,2.666666667,10,10,2,26,32,26
34,4,2.666666667,6,6,2,26,32,26
34,5,3.666666667,8,9,4,26,32,26
34,6,4.333333333,6,7,5,26,32,26
34,7,4,8,8,1,26,32,26
34,8,4.333333333,6,8,4,26,32,26
34,9,3,9,10,1,26,32,26
34,10,2.333333333,9,9,2,26,32,26
35,1,4.666666667,9,9,2,20,20,45
35,2,3.333333333,9,7,2,20,20,45
35,3,4.333333333,10,10,1,20,20,45
35,4,3.333333333,8,8,2,20,20,45
35,5,5,10,10,1,20,20,45
35,6,2.333333333,7,6,4,20,20,45
35,7,4.333333333,8,9,1,20,20,45
35,8,4,8,8,2,20,20,45
35,9,4,8,8,2,20,20,45
35,10,4,8,8,2,20,20,45
36,1,3,7,4,5,41,35,35
36,2,2.333333333,3,2,5,41,35,35
36,3,3.666666667,10,9,1,41,35,35
36,4,2.333333333,10,10,5,41,35,35
36,5,5,10,10,1,41,35,35
36,6,3.666666667,7,6,5,41,35,35
36,7,4.666666667,10,10,1,41,35,35
36,8,3.333333333,5,4,5,41,35,35
36,9,5,10,10,5,41,35,35
36,10,5,8,10,1,41,35,35
37,1,4,7,3,4,32,27,45
37,2,3.666666667,2,8,5,32,27,45
37,3,3.666666667,7,7,2,32,27,45
37,4,3.333333333,8,8,2,32,27,45
37,5,3.333333333,7,8,4,32,27,45
37,6,4.666666667,9,7,4,32,27,45
37,7,3.666666667,8,8,2,32,27,45
37,8,4.666666667,3,8,1,32,27,45
37,9,4.666666667,6,6,2,32,27,45
37,10,2.333333333,7,8,2,32,27,45
38,1,4.666666667,8,9,2,21,21,42
38,2,4,9,7,2,21,21,42
38,3,4,9,10,2,21,21,42
38,4,3.666666667,7,6,4,21,21,42
38,5,5,8,6,4,21,21,42
38,6,3.666666667,10,5,4,21,21,42
38,7,4.333333333,9,8,3,21,21,42
38,8,4,5,6,4,21,21,42
38,9,3.333333333,6,8,5,21,21,42
38,10,3.666666667,7,8,3,21,21,42
39,1,4,6,8,2,26,28,32
39,2,3,2,7,4,26,28,32
39,3,4.666666667,3,3,1,26,28,32
39,4,3.333333333,1,6,2,26,28,32
39,5,3,4,9,2,26,28,32
39,6,3.666666667,1,6,3,26,28,32
39,7,3.333333333,2,7,1,26,28,32
39,8,2.333333333,2,7,2,26,28,32
39,9,4,2,6,2,26,28,32
39,10,2.666666667,2,8,2,26,28,32
40,1,4.666666667,10,10,2,24,23,44
40,2,3.333333333,6,3,4,24,23,44
40,3,4,8,8,4,24,23,44
40,4,1.666666667,5,5,3,24,23,44
40,5,5,8,10,4,24,23,44
40,6,2,4,6,5,24,23,44
40,7,3.666666667,8,8,3,24,23,44
40,8,3,8,10,2,24,23,44
40,9,4,5,6,3,24,23,44
40,10,3.666666667,8,9,2,24,23,44
41,1,3.666666667,4,5,3,38,34,35
41,2,3.333333333,4,5,2,38,34,35
41,3,4.666666667,7,8,1,38,34,35
41,4,2,2,2,4,38,34,35
41,5,3,7,6,4,38,34,35
41,6,2.666666667,3,6,3,38,34,35
41,7,3.666666667,8,7,1,38,34,35
41,8,2.666666667,3,8,3,38,34,35
41,9,3,5,8,4,38,34,35
41,10,4.333333333,5,9,1,38,34,35
42,1,4.333333333,7,7,2,22,24,29
42,2,1.333333333,2,3,4,22,24,29
42,3,3.666666667,10,10,2,22,24,29
42,4,3,5,6,3,22,24,29
42,5,1.333333333,10,9,2,22,24,29
42,6,2.666666667,4,3,4,22,24,29
42,7,5,9,8,1,22,24,29
42,8,4.666666667,10,10,1,22,24,29
42,9,3.333333333,8,8,3,22,24,29
42,10,3,10,10,1,22,24,29
43,1,4,7,7,2,16,24,41
43,2,3.666666667,7,6,3,16,24,41
43,3,3,8,8,2,16,24,41
43,4,2.666666667,5,6,3,16,24,41
43,5,4.333333333,9,9,4,16,24,41
43,6,2.333333333,5,5,4,16,24,41
43,7,2.666666667,9,9,2,16,24,41
43,8,2.333333333,8,10,1,16,24,41
43,9,2.333333333,8,9,2,16,24,41
43,10,2.333333333,8,10,1,16,24,41
44,1,3.333333333,6,7,2,26,24,32
44,2,4,3,6,4,26,24,32
44,3,4.333333333,6,8,2,26,24,32
44,4,4.666666667,7,7,3,26,24,32
44,5,4.666666667,8,8,2,26,24,32
44,6,4,5,3,4,26,24,32
44,7,5,8,9,1,26,24,32
44,8,4.333333333,6,9,1,26,24,32
44,9,4,6,9,2,26,24,32
44,10,2,6,9,2,26,24,32
45,1,3,5,6,3,31,31,28
45,2,4.333333333,3,9,3,31,31,28
45,3,4,9,10,1,31,31,28
45,4,4,6,8,2,31,31,28
45,5,5,10,10,1,31,31,28
45,6,3,3,5,4,31,31,28
45,7,3.666666667,8,9,1,31,31,28
45,8,2,3,8,4,31,31,28
45,9,3,3,6,4,31,31,28
45,10,3.666666667,4,8,3,31,31,28
46,1,2.666666667,7,5,4,26,27,32
46,2,3,7,6,4,26,27,32
46,3,3.666666667,2,2,4,26,27,32
46,4,2.666666667,1,2,4,26,27,32
46,5,4,10,1,5,26,27,32
46,6,2,7,7,4,26,27,32
46,7,2.666666667,5,3,5,26,27,32
46,8,5,10,10,5,26,27,32
46,9,3.666666667,6,2,5,26,27,32
46,10,4.333333333,7,7,3,26,27,32
47,1,3.333333333,6,7,3,21,22,34
47,2,4,3,3,3,21,22,34
47,3,4.333333333,8,10,1,21,22,34
47,4,3.666666667,4,5,2,21,22,34
47,5,5,10,10,1,21,22,34
47,6,2.666666667,3,2,4,21,22,34
47,7,4,8,7,1,21,22,34
47,8,4.333333333,6,8,2,21,22,34
47,9,3.666666667,6,5,3,21,22,34
47,10,2.333333333,1,6,3,21,22,34
48,1,2.666666667,9,7,2,14,19,36
48,2,2.333333333,3,2,3,14,19,36
48,3,2.333333333,3,4,1,14,19,36
48,4,2.333333333,6,4,3,14,19,36
48,5,4.666666667,9,10,1,14,19,36
48,6,2.333333333,4,6,2,14,19,36
48,7,3.333333333,9,9,1,14,19,36
48,8,3,8,8,1,14,19,36
48,9,2.666666667,9,10,1,14,19,36
48,10,3.333333333,8,10,1,14,19,36
49,1,5,10,10,2,32,22,47
49,2,1.666666667,7,10,1,32,22,47
49,3,3.666666667,10,8,2,32,22,47
49,4,2.333333333,5,5,3,32,22,47
49,5,2.333333333,10,10,1,32,22,47
49,6,1.333333333,8,7,4,32,22,47
49,7,4,10,10,1,32,22,47
49,8,3.666666667,10,10,1,32,22,47
49,9,1,5,5,5,32,22,47
49,10,1,1,10,5,32,22,47
50,1,4.333333333,9,9,1,19,28,37
50,2,2,1,5,5,19,28,37
50,3,4.666666667,6,10,1,19,28,37
50,4,4.333333333,5,4,2,19,28,37
50,5,5,10,10,1,19,28,37
50,6,5,10,10,4,19,28,37
50,7,5,10,10,1,19,28,37
50,8,5,10,10,3,19,28,37
50,9,4.333333333,10,10,5,19,28,37
50,10,3.666666667,9,10,2,19,28,37
51,1,4.333333333,8,9,1,28,24,38
51,2,3.666666667,6,6,4,28,24,38
51,3,4.666666667,6,5,4,28,24,38
51,4,3,7,7,4,28,24,38
51,5,2.666666667,8,4,1,28,24,38
51,6,3.333333333,5,7,4,28,24,38
51,7,4,7,7,2,28,24,38
51,8,4,9,8,1,28,24,38
51,9,4,7,7,3,28,24,38
51,10,5,7,7,4,28,24,38
52,1,5,8,7,2,21,17,46
52,2,5,9,9,2,21,17,46
52,3,5,10,10,1,21,17,46
52,4,5,7,6,2,21,17,46
52,5,5,10,8,1,21,17,46
52,6,5,9,7,2,21,17,46
52,7,5,10,10,1,21,17,46
52,8,5,10,10,1,21,17,46
52,9,5,10,9,2,21,17,46
52,10,5,9,9,1,21,17,46
53,1,4,9,8,4,45,34,47
