Gender,Age,WPS,Math1,Math2,SelfImage,SelfReg,Strategies,Motivation,LMA,MEA,Raven,Verbal
1,10,5,90,93,3.8571,3.4286,3.8333,5,1.0833,1.2222,33,42
0,9.6,4,80,85,3.2857,3.1429,3,3,1.8333,2,45,43
0,10,6,92,92,3.4286,2.4286,2.3333,3.25,2.3333,3.5556,37,42
0,9,5,77,76,2.5714,2.8571,2.9167,2,2.25,2.8889,29,36
1,10,7,93,93,4.8571,5,5,5,1.0833,1,27,41
1,9.51,7,85,83,3.1429,3.2857,3.1667,3,1.25,1.4444,43,43
1,10,4,80,81,4.2857,4,4.1667,4.5,1.4167,1.8889,44,40
1,10.5,9,90,86,4.7143,3.7143,4.4167,5,1.5,2.6667,53,45
0,10,7,83.5,85,4.2857,4.2857,4,5,1.4167,1.5556,34,43
0,10.4,7,86.5,79.5,4.2857,4.4286,4.5833,4.75,1.4167,2.2222,50,45
0,10,6,90,82.5,3.7143,4.4286,4.5833,5,1.1667,1.2222,42,44
0,10.28,8,87,87.5,3.7143,3.7143,3.8333,4,1.25,1.6667,39,43
1,10.5,7,88,76.5,1.5714,2.1429,1.4167,2.5,1.4167,1.4444,44,42
0,10.02,7,88,79,4.1429,3.8571,3.9167,4.75,1.9167,2.1111,46,46
1,10.8,1,81.5,71,3,3,3.0833,2.75,1.0833,1,35,42
0,9.65,4,80,72,2.8571,2.5714,2.5,2.75,2.5,3.2222,47,44
0,10.65,9,89,84.5,3.1429,3.4286,3.3333,4.5,1.75,2.6667,47,45
1,9.87,4,48,61.5,1.7143,2.4286,3.0833,2.25,2.0833,2.3333,29,30
0,10.44,9,91,88.5,2.1429,2.4286,2.5833,3.5,1.4167,2.5556,48,46
0,10.7,9,91,88.5,2.1429,2.4286,2.5833,3.5,1.4167,2.5556,48,46
0,10.77,7,89,86,4.4286,4.7143,4.6667,5,1.1667,1.6667,41,44
1,10.5,7,86,81.5,1.8571,1.7143,2,2.25,1.8333,1.8889,39,44
0,10.5,9,87,75,1.7143,1.8571,1.9167,3.25,1.4167,2.5556,49,44
1,10.5,10,86,86,3.8571,4.4286,4.1667,5,1.5,1.6667,50,46
1,10.5,6,46,76.5,3.5714,3,3.5833,2.5,1.5833,3,36,41
1,11,6,85.5,74.5,4.7143,4.1429,4.6667,3.25,1.5,2,47,44
1,10.72,6,81,74.5,3.7143,3.7143,3.5,4,2.5,2.4444,47,44
1,10.67,7,85,80,5,5,5,5,1.25,1.3333,42,43
1,9.8,8,80,83,5,5,4.6667,4,1.0833,1,47,45
1,10.5,3,49,66,2.8571,2.7143,3.25,3.25,2.9167,1.8889,29,38
0,10.5,8,87.5,78.5,4.1429,2.7143,4.0833,3.5,1.4167,3,34,43
1,11,7,76,77.5,3.7143,4.1429,3.8333,4,1.8333,3.2222,36,39
1,11.24,7,84,70.5,3,3.2857,3,4.25,1.1667,1.7778,47,40
0,10.72,7,80.5,78,4.1429,3.8571,4.3333,3.75,1.6667,2.1111,40,41
1,10.5,5,80.5,77.5,3.5714,3.7143,2.9167,4.75,1.25,1.3333,37,38
1,10,8,88,79.5,4.1429,4.7143,4.9167,4,1.25,1.4444,50,45
1,10.23,4,91,77.5,5,5,5,5,1.0833,1.1111,39,41
1,11,4,14.5,38,3.4286,2.5714,3.75,4.25,1.8333,2.6667,46,33
0,11,10,49,80.5,2,2.5714,2.75,3,1.5833,2.5556,44,41
1,10.32,7,79,84,3.1429,3.2857,3.1667,3.5,1.4167,2.3333,39,42
0,11,6,74,69.5,3.4286,2.8571,2.75,4.75,2.4167,3.1111,31,34
0,10,2,18,53,2.8571,3.2857,3.0833,4.5,2.9167,3,43,37
1,10.27,7,79.5,90,1.8571,4,4.0833,4.5,1.25,1.2222,37,42
0,10.82,8,85,92,4.7143,4.4286,4.25,5,1.0833,1.4444,44,45
1,10.78,7,90,86,3.7143,4.4286,4,4.75,1.0833,1.2222,48,46
0,10.46,8,85,93,3.7143,3.8571,3.5833,4,1.6667,2.2222,50,45
0,10,8,88.5,86,3.5714,2.8571,3.75,3.5,1.75,2.4444,52,46
1,10.5,8,86,92,3.8571,4.1429,4.1667,4.75,1.25,2.1111,46,46
0,10.5,9,88,93,3.4286,3.8571,3.9167,4.25,1.3333,1.7778,46,44
0,10.65,6,91,87,3.1429,4,3.8333,3.25,1.3333,1.5556,40,45
1,10.5,7,90,89.5,3.1429,3.5714,3.9167,4.5,1.6667,2.4444,47,43
1,11,7,71,72.5,3.2857,2.7143,2.3333,2.75,1.8333,2.6667,36,41
1,10.2,8,84,89,4.1429,3.2857,3.9167,4.75,1.25,2,44,40
0,9.64,4,83.5,84.5,3.8571,3.4286,3.9167,3.25,1.5,2,32,44
0,10.5,4,73.5,66.5,3.2857,4.2857,4.4167,4.5,1.75,1.4444,38,41
1,10.53,8,86,86.5,3.7143,4.1429,4,4.5,3,3.3333,50,44
1,10.5,9,78,88,3,3.4286,3.3333,3.75,2.5833,2.8889,43,42
0,10.6,6,86,83.5,4.5714,3.5714,3.25,3.5,1.8333,3,43,46
0,10.6,9,91,91,4.2857,4,4.4167,4.75,1.4167,2.6667,53,44
1,9.72,8,85.5,85.5,4.2857,3.5714,3.8333,4.25,1.5,2.1111,45,46
1,10.5,7,86,83,2.8571,2.8571,2.9167,2.75,1.3333,1.8889,48,45
0,10,8,68.5,78,2.8571,3.2857,3.6667,3.75,1.9167,3.2222,36,38
0,10.54,8,89,93,4.5714,4.5714,4.3333,4.75,1.0833,1.6667,41,45
0,10.23,8,86,88,4,4,4.0833,4.25,1.5,2.5556,53,47
0,9.37,5,88,88,4.1429,3.8571,3.6667,3.75,1.4167,2.1111,44,43
0,11,3,55,55,4.2857,4.7143,4.8333,5,1.1667,1.2222,41,36
0,10.67,6,56,56.5,1.8571,1.8571,1.9167,2,1.6667,2.1111,48,33
1,10.68,5,41,55,3.5714,3.8571,4.0833,4.25,2.1667,1.5556,38,31
0,10.23,5,90,89,4.2857,3.8571,4,4.25,1.1667,1.4444,43,37
0,10.59,4,85,88,4.2857,4,4.1667,3.25,2.1667,3.1111,47,39
1,10.74,7,53,67,3.2857,3.5714,4,4.75,1.4167,1.8889,36,35
0,11.5,6,74,73,3.4286,4,3.6667,2.25,2.4167,2.3333,33,36
1,11.33,9,91.5,93,5,3.8571,4.5,5,1.1667,1.4444,54,40
1,10.5,6,53,62,3.7143,3.5714,4.75,4.5,1.3333,1.6667,47,34
1,10.35,8,68,81,5,5,5,5,1.3333,1,41,36
1,10.5,9,69,77,4,4.7143,4.8333,4.5,1.5833,1.8889,38,36
1,10.5,9,75,76,3,2.7143,3.3333,4,1.75,1.8889,44,38
0,10.58,4,25,30,3.8571,3.5714,3.5,3.75,1.6667,2.8889,41,36
0,11,7,62,65,3,3,2.3333,2.5,1.4167,2.5556,48,36
0,10,7,62,65,3,3,2.3333,2.5,1.4167,2.5556,48,36
1,10.78,7,86,82,4.7143,4.1429,4.5833,4.5,1.25,1,49,35
1,11.5,8,84,79,4.2857,3.8571,3.5,3.75,1.5,2.6667,42,37
1,11.32,7,88,87,4.4286,4.7143,4.8333,3.75,1.75,3,50,38
1,10,9,89,90,4.2857,4.2857,4.9167,5,1.4167,1.5556,57,38
0,10,8,80,86,4.7143,4.4286,4.4167,4.5,1.6667,1.7778,49,38
1,10.27,7,88,88,4.5714,4.8571,4.5833,3.5,1.0833,1.7778,47,35
1,10.5,8,68,53,4.8571,4.2857,4.0833,4,1.6667,2.5556,39,36
0,11,8,77,73,4,3.7143,4,3.75,1.5833,1.7778,46,36
0,10.38,9,88,87,4.4286,4.4286,4.25,4,1.5833,2.4444,49,37
0,11.32,8,86,87,3.8571,3.7143,3.75,5,1.6667,2.2222,47,37
0,11.24,4,65,72,3.7143,3.5714,3.4167,4,1.25,2.5556,39,34
0,10,8,71,87,4,3.7143,4.0833,4.5,2,2,45,35
1,10.5,1,33,37.5,2.4286,2.4286,2.4167,2.25,2.25,2.5556,40,31
0,11,10,73,84,3.2857,2.4286,2.5833,4,1.8333,3.6667,52,37
0,11,9,67,74,3.7143,3.2857,3.5,4.75,1.9167,2.8889,49,36
1,11,8,83,89,3.2857,3.4286,2.9167,3.5,1.25,1.6667,49,37
0,11.25,9,82,82,5,5,4.9167,4,1.0833,1.1111,52,38
0,10.25,9,89,91,4.4286,3.5714,4,4,1.1667,2,54,39
1,10.39,9,92,91,4.7143,4.2857,3.9167,5,1.0833,1.6667,54,39
0,11.5,7,76,77,4,3.7143,3.5833,3,1.1667,1,42,37
1,10.8,5,22.5,45.5,2.8571,2.2857,3.0833,2.5,2.8333,2.7778,36,31
1,11.33,5,21,47.5,3.1429,3.1429,2.9167,4.5,1.9167,1.8889,44,32
0,10.5,9,79,76,5,4,4.9167,4.25,1.0833,1.2222,50,36
1,10.58,10,86,91,4,3.8571,4.3333,4.75,1.4167,2.2222,53,37
0,10.31,9,92,91,4.8571,5,4.9167,4,1.25,2,51,37
0,10,7,75,72,4,3.5714,3.5833,4.25,1.5833,2.1111,45,38
1,10,9,56,63,2.7143,3.4286,2.5,4,1.9167,2.5556,46,35
0,10.75,8,77.5,72,4.4286,4.5714,4.5833,4.5,1.25,1.2222,27,32
1,10.67,9,86,87,3.8571,4,3.6667,4.25,2,2.4444,46,35
1,11,3,25,33.5,3.4286,3.5714,3.5,4,1.75,1.4444,32,32
0,9.78,5,56,59,4.7143,4.5714,4.75,4.5,1.5833,1.7778,37,36
1,11,7,88,91,3.8571,3.5714,3.25,3.5,1.1667,1.4444,52,39
1,10.74,6,67,72.5,4,3.8571,4.6667,3.75,1.25,2.4444,55,39
1,10,7,73,84,4,4,4.25,4.75,1.1667,1.6667,42,39
0,10.5,10,88.5,85,4.1429,1.8571,3.25,4.25,1.5,1.7778,41,37
0,10.43,5,61,64.5,4.1429,3.4286,3.8333,4,1.5833,2.7778,42,37
1,9.5,5,91,87.5,3.4286,3.2857,3.1667,3.25,2.6667,2.6667,38,40
