group,IDNR,sex,grade,age,a1.1,a1.2,a1.3,a1.4,a1.5,a1.6,a1.7,a1.8,a1.9,a1.10,a1.11,a1.12,a1.13,a1.14,a1.15,a1.16
1,302,2,6,14,-9,0,1,1,1,1,1,0,1,-9,0,0,-9,0,-9,-9
1,154,2,6,14,0,-9,1,1,-9,1,1,-9,1,1,0,0,0,-9,-9,-9
1,268,1,6,14,1,1,1,1,1,-9,-9,-9,1,-9,0,1,-9,0,-9,-9
1,271,2,6,14,1,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
1,596,2,5,15,1,0,1,1,-9,1,1,0,1,1,0,-9,-9,-9,-9,-9
1,466,2,5,12,1,1,1,1,1,1,1,1,1,1,1,0,-9,-9,-9,-9
1,198,2,6,14,1,1,1,1,0,1,1,0,1,1,-9,1,-9,0,-9,0
1,382,1,6,16,1,1,1,1,1,1,1,0,1,1,1,-9,-9,-9,-9,-9
1,893,2,4,15,1,1,1,1,0,0,1,1,1,1,0,0,-9,0,-9,-9
1,463,1,5,12,1,-9,1,1,1,1,1,1,1,0,-9,-9,-9,-9,-9,-9
1,576,2,5,14,1,0,0,1,1,1,1,1,1,0,-9,0,0,0,0,-9
1,521,2,5,13,0,-9,1,1,-9,1,1,1,1,-9,0,0,-9,-9,-9,-9
1,490,2,5,13,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,0,-9,-9
1,595,1,5,15,1,0,1,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9
1,27,2,6,12,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9
1,859,2,4,13,1,1,1,1,0,1,1,0,1,-9,0,0,-9,-9,-9,-9
1,375,1,6,15,1,1,0,1,1,1,0,0,1,0,0,0,-9,-9,0,-9
1,68,1,6,13,1,0,1,1,1,1,1,1,1,0,-9,0,-9,0,-9,-9
1,535,1,5,13,1,1,1,1,1,0,-9,1,1,-9,-9,-9,-9,-9,-9,-9
1,503,2,5,13,1,1,1,1,1,1,1,0,1,1,1,-9,-9,-9,-9,-9
1,280,2,6,14,1,-9,1,1,1,0,1,1,1,1,-9,-9,-9,-9,-9,-9
1,457,1,5,12,-9,1,1,1,1,-9,1,0,1,-9,-9,-9,-9,-9,-9,-9
1,196,2,6,14,1,1,1,1,0,1,1,0,1,0,0,0,-9,-9,-9,-9
1,419,2,5,15,1,1,1,1,0,1,1,1,1,-9,0,0,0,-9,-9,-9
1,407,2,6,16,0,0,1,1,0,1,1,1,1,0,0,0,-9,-9,-9,-9
1,314,2,6,15,1,1,1,1,1,-9,0,1,1,1,-9,1,0,1,-9,-9
1,523,1,5,13,1,1,1,1,1,1,1,0,1,-9,-9,-9,-9,0,0,-9
1,389,1,6,16,1,1,1,1,-9,1,1,0,1,1,1,0,-9,-9,-9,-9
1,172,1,6,14,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9
1,759,1,4,12,1,0,1,1,1,0,0,1,1,0,0,0,-9,-9,-9,-9
1,528,2,5,13,1,1,1,1,1,1,1,0,1,-9,1,0,-9,-9,-9,-9
1,558,1,5,13,1,-9,1,1,0,1,1,0,1,-9,0,-9,-9,0,-9,-9
1,777,2,4,12,1,1,1,1,0,1,1,1,1,-9,-9,0,-9,-9,-9,-9
1,105,1,6,13,1,1,1,1,1,-9,1,1,1,1,1,-9,1,0,0,-9
1,890,2,4,14,1,0,1,1,-9,1,1,-9,1,0,0,0,-9,-9,-9,-9
1,726,1,4,12,1,0,1,1,1,1,1,0,1,-9,0,0,-9,-9,-9,-9
1,782,2,4,12,1,0,0,1,-9,1,1,0,1,-9,-9,-9,-9,-9,-9,-9
1,544,1,5,13,1,1,1,1,1,1,1,0,1,-9,0,-9,-9,0,-9,0
