ID,Sex,Age,Education,Condition,GasBenefits,GasRisks,GasAccidents,GasControl,PresBenefits,PresRisks,PresAccidents,PresControl,NuclearBenefits,NuclearRisks,NuclearAccidents,NuclearControl,GasBenefitsPost,GasRisksPost,GasAccidentsPost,GasControlPost,PresBenefitsPost,PresRisksPost,PresAccidentsPost,PresControlPost,NuclearBenefitsPost,NuclearRisksPost,NuclearAccidentsPost,NuclearControlPost
264,M,22,3,HB,7,3,4,2,8,3,2,3,3,9,7,5,8,3,3,2,8,4,3,4,4,9,4,4
267,F,18,1,HB,10,8,10,7,8,10,9,6,5,10,9,5,10,10,10,4,10,10,10,3,10,10,10,3
269,M,23,3,HB,8,8,2,7,3,9,5,1,1,10,10,1,4,5,4,6,2,10,5,1,1,10,10,1
270,F,20,3,HB,2,3,2,3,2,2,2,2,3,2,2,3,5,2,2,5,2,9,7,2,2,2,2,2
272,M,20,3,HB,6,3,3,7,7,3,1,9,8,6,4,8,6,3,3,7,8,3,1,8,9,4,2,8
276,M,19,2,HB,10,8,4,6,8,3,6,7,1,10,10,3,9,3,2,8,8,3,2,9,3,10,10,4
282,M,21,3,HB,6,4,4,5,6,6,6,7,8,3,2,7,7,4,4,6,7,5,5,4,7,4,4,7
9,M,19,2,HR,5,5,5,8,9,4,3,3,5,9,9,4,5,8,9,3,8,5,4,3,5,9,9,4
10,F,19,2,HR,8,9,9,3,4,7,6,8,5,10,9,5,8,9,9,3,4,7,6,8,5,10,9,5
12,F,18,1,HR,7,2,5,5,9,5,2,7,8,8,8,8,6,8,8,8,7,3,4,7,7,9,8,7
15,M,21,4,HR,9,3,4,3,9,2,1,1,5,9,8,1,6,8,9,2,4,8,3,1,2,10,9,1
17,M,19,2,HR,9,7,5,4,8,5,4,8,9,9,7,8,9,4,4,7,6,7,7,8,9,8,6,7
23,F,19,2,HR,8,2,6,6,7,6,8,8,1,10,8,10,8,2,6,6,7,6,8,8,1,10,8,10
29,M,19,2,HR,8,4,8,5,3,6,7,3,4,10,10,1,6,7,9,2,2,9,8,1,2,10,10,1
31,M,19,2,HR,4,5,10,8,7,3,3,6,5,10,5,2,4,9,9,3,6,6,7,4,6,10,7,5
40,M,19,1,HR,8,5,7,5,7,6,7,4,6,7,8,5,8,8,9,6,7,5,3,7,7,9,10,3
41,M,21,4,HR,9,2,3,8,8,4,2,4,9,6,7,6,9,6,6,6,8,4,3,4,8,5,6,4
48,M,21,3,HR,7,5,5,1,1,10,10,1,4,10,10,1,3,8,10,1,1,10,10,1,2,10,10,1
