ID,VaccEndorse,PreferCAM,SpiritKnow,StrongFaith,NoRelig,CRT,Openness
306,3,7,7,1,0,0,14
309,3,4,5,1,0,0,11
312,3,1,2,1,0,3,11
314,3,1,3,1,0,1,11
316,3,7,5,1,0,0,13
317,3,2,3,1,0,2,12
320,3,2,5,0,0,0,6
321,3,6,4,0,0,1,14
323,3,1,2,0,0,1,14
333,3,3,3,1,0,0,8
334,3,1,1,1,0,0,14
341,3,6,7,1,0,0,4
345,3,3,1,0,0,0,10
350,3,2,3,0,0,0,8
355,3,5,2,0,0,0,4
356,3,3,4,0,0,0,10
357,3,2,7,1,0,0,10
360,3,1,1,1,0,1,2
361,3,2,3,0,0,0,8
362,3,1,4,0,0,0,4
364,3,1,2,0,0,3,11
367,3,4,7,0,0,1,12
368,3,1,6,0,0,1,14
370,3,2,2,0,0,0,6
372,3,1,2,1,0,0,10
376,3,1,1,0,0,0,11
377,3,2,2,0,0,0,12
378,3,1,3,1,0,1,11
379,3,1,5,0,0,0,7
380,3,1,5,0,0,0,14
381,3,1,2,0,0,1,7
382,3,1,3,0,0,0,12
383,3,1,7,0,0,1,13
385,3,4,1,1,0,1,3
386,3,1,2,0,0,0,8
387,3,2,3,0,0,0,13
394,3,1,1,1,0,0,12
395,3,1,1,1,0,0,13
396,3,2,2,1,0,2,8
397,3,1,1,0,0,0,8
398,3,1,1,0,0,0,14
399,3,1,1,0,0,1,7
406,3,1,1,0,0,0,7
407,3,3,7,0,0,0,14
408,3,1,2,0,0,2,11
410,3,1,1,1,0,0,6
413,3,1,2,0,0,1,9
415,3,1,2,1,0,1,9
419,3,1,2,1,0,0,14
425,3,7,6,1,0,0,7
426,3,4,4,1,0,0,14
427,3,1,2,0,0,2,8
429,3,1,4,1,0,2,10
432,3,1,1,1,0,1,10
433,3,1,5,1,0,0,12
434,3,3,1,1,0,1,9
435,3,2,3,1,0,1,14
438,3,1,2,1,0,1,12
439,3,2,1,1,0,1,14
440,3,1,3,0,0,1,13
441,3,2,4,0,0,0,10
442,3,1,2,1,0,0,10
443,3,1,5,0,0,0,12
446,3,2,3,1,0,0,10
447,3,1,2,1,0,0,12
448,3,7,7,0,0,1,13
449,3,2,3,0,0,1,8
451,3,1,1,1,0,0,12
452,3,1,4,0,0,0,14
453,3,1,6,0,0,0,8
454,3,1,3,0,0,0,7
455,3,1,3,1,0,0,2
456,3,5,7,1,0,0,14
457,3,4,7,1,0,0,8
458,3,1,4,0,0,0,11
460,3,1,6,1,0,0,10
461,3,1,7,1,0,1,12
470,3,1,5,0,0,0,14
471,3,1,1,1,0,2,12
473,3,1,1,0,0,0,14
474,3,1,4,0,0,0,10
476,3,1,7,0,0,0,14
477,3,1,1,1,0,0,7
478,3,6,6,0,0,0,6
481,3,1,6,0,0,2,11
484,3,4,4,0,0,0,13
487,3,1,1,1,0,0,13
488,3,1,3,1,0,0,3
494,3,1,2,0,0,0,10
498,3,1,7,1,0,0,12
499,3,3,2,0,0,1,11
500,3,3,1,0,0,0,4
501,3,7,2,0,0,0,13
505,3,1,1,0,0,0,7
508,3,1,7,0,0,0,8
509,3,1,6,1,0,1,9
510,3,1,3,0,0,0,12
512,3,1,2,0,0,1,13
518,3,2,3,0,0,0,8
519,3,1,1,0,0,0,13
520,3,6,5,0,0,0,11
521,3,1,6,0,0,0,11
524,3,1,4,0,0,0,8
525,3,1,4,1,0,0,6
526,3,1,4,1,0,0,13
529,3,1,1,0,0,0,14
531,3,2,6,1,0,0,12
532,3,4,7,0,0,0,12
533,3,1,4,1,0,0,10
535,3,5,1,1,0,0,10
536,3,1,3,1,0,0,8
538,3,1,2,0,0,0,13
540,3,2,2,0,0,0,14
542,3,2,7,1,0,0,14
546,3,4,1,0,0,2,13
548,3,2,2,1,0,0,13
552,3,2,2,0,0,0,8
553,3,4,2,0,0,1,14
556,3,1,1,0,0,0,10
557,3,1,6,0,0,0,10
560,3,1,1,0,0,0,10
561,3,1,4,1,0,1,11
563,3,5,4,0,0,0,9
