Subject,Change,Ndist,Correct,Reaction,MMI
2,1,6,1,551,1.888888889
2,0,4,1,526,1.888888889
2,1,2,0,655,1.888888889
2,1,0,1,391,1.888888889
2,0,2,1,527,1.888888889
2,1,2,1,432,1.888888889
2,1,6,1,584,1.888888889
2,0,2,1,374,1.888888889
2,0,6,1,383,1.888888889
2,0,0,1,391,1.888888889
2,1,4,1,775,1.888888889
2,0,0,1,438,1.888888889
2,0,6,1,470,1.888888889
2,1,0,1,366,1.888888889
2,0,0,1,366,1.888888889
2,1,4,0,414,1.888888889
2,1,6,1,415,1.888888889
2,1,4,1,454,1.888888889
2,1,2,1,326,1.888888889
2,0,0,1,343,1.888888889
2,0,4,1,453,1.888888889
2,1,0,1,363,1.888888889
2,0,2,1,540,1.888888889
2,0,4,1,350,1.888888889
2,1,2,1,342,1.888888889
2,0,6,1,359,1.888888889
2,1,6,1,382,1.888888889
2,0,2,1,335,1.888888889
2,0,6,1,375,1.888888889
2,0,0,1,335,1.888888889
2,1,2,0,390,1.888888889
2,1,6,1,391,1.888888889
2,1,6,1,423,1.888888889
2,0,6,1,383,1.888888889
2,0,0,1,401,1.888888889
2,0,4,1,390,1.888888889
2,1,0,1,327,1.888888889
2,1,0,0,328,1.888888889
2,1,2,1,527,1.888888889
2,1,4,1,536,1.888888889
2,0,4,1,367,1.888888889
2,1,4,1,390,1.888888889
2,0,2,1,614,1.888888889
2,0,2,1,470,1.888888889
2,0,4,1,431,1.888888889
2,0,0,1,415,1.888888889
2,1,0,1,359,1.888888889
2,1,2,1,535,1.888888889
2,0,4,1,584,1.888888889
2,1,4,1,446,1.888888889
2,1,2,0,350,1.888888889
2,1,6,1,366,1.888888889
2,0,0,1,359,1.888888889
2,0,6,1,503,1.888888889
2,0,2,1,337,1.888888889
2,1,6,1,374,1.888888889
2,1,0,0,398,1.888888889
2,0,6,1,432,1.888888889
2,1,4,1,527,1.888888889
2,0,2,1,442,1.888888889
2,1,6,1,511,1.888888889
2,1,0,1,303,1.888888889
2,1,4,1,382,1.888888889
2,1,4,0,391,1.888888889
2,0,4,0,455,1.888888889
2,0,0,1,446,1.888888889
2,0,6,1,846,1.888888889
2,0,2,1,423,1.888888889
2,0,2,1,367,1.888888889
2,1,2,1,383,1.888888889
2,0,4,1,447,1.888888889
2,0,6,1,438,1.888888889
2,0,0,1,374,1.888888889
2,1,2,1,463,1.888888889
2,1,0,1,429,1.888888889
2,1,6,1,535,1.888888889
2,1,2,0,488,1.888888889
2,1,0,1,438,1.888888889
2,0,6,1,479,1.888888889
2,1,4,1,623,1.888888889
2,0,4,0,470,1.888888889
2,1,6,1,422,1.888888889
2,0,0,1,431,1.888888889
2,0,2,0,391,1.888888889
3,0,0,1,825,2.888888889
3,1,4,1,553,2.888888889
3,0,4,1,592,2.888888889
3,0,6,1,681,2.888888889
3,1,6,1,770,2.888888889
3,0,6,1,744,2.888888889
3,1,0,1,1023,2.888888889
3,1,0,1,887,2.888888889
3,1,2,1,823,2.888888889
3,0,0,1,842,2.888888889
3,1,4,1,759,2.888888889
3,1,6,1,904,2.888888889
3,0,2,1,721,2.888888889
3,0,2,1,704,2.888888889
3,0,4,1,607,2.888888889
3,1,2,1,639,2.888888889
3,1,0,1,866,2.888888889
3,1,4,1,623,2.888888889
3,1,4,0,776,2.888888889
3,1,0,1,527,2.888888889
3,0,6,1,679,2.888888889
3,0,0,1,848,2.888888889
3,0,4,1,680,2.888888889
3,1,2,1,519,2.888888889
3,1,6,1,663,2.888888889
3,0,0,1,622,2.888888889
3,1,6,1,535,2.888888889
3,0,2,1,503,2.888888889
3,1,2,1,596,2.888888889
3,0,2,1,599,2.888888889
3,0,4,1,663,2.888888889
3,0,6,1,503,2.888888889
3,1,2,1,676,2.888888889
3,0,0,1,562,2.888888889
3,1,6,1,847,2.888888889
3,0,6,1,646,2.888888889
3,1,4,1,697,2.888888889
3,0,4,1,566,2.888888889
3,0,6,1,374,2.888888889
3,1,6,1,462,2.888888889
3,0,2,1,743,2.888888889
3,0,0,1,655,2.888888889
3,0,2,1,640,2.888888889
3,0,4,1,630,2.888888889
3,1,0,1,582,2.888888889
3,1,4,1,567,2.888888889
3,1,2,1,703,2.888888889
3,1,0,1,568,2.888888889
3,0,4,1,625,2.888888889
3,1,0,1,496,2.888888889
3,1,6,1,558,2.888888889
3,1,6,1,496,2.888888889
3,1,2,0,502,2.888888889
3,0,2,0,454,2.888888889
3,0,6,1,1103,2.888888889
3,0,2,1,552,2.888888889
3,1,4,1,647,2.888888889
3,1,0,1,607,2.888888889
3,0,0,1,656,2.888888889
3,0,6,1,759,2.888888889
3,1,2,0,864,2.888888889
3,0,4,1,575,2.888888889
3,0,0,1,487,2.888888889
3,1,4,1,624,2.888888889
3,0,6,1,761,2.888888889
3,1,4,1,519,2.888888889
3,0,2,0,511,2.888888889
3,1,2,1,575,2.888888889
3,0,4,1,677,2.888888889
3,0,6,1,447,2.888888889
3,0,2,1,399,2.888888889
3,0,0,1,368,2.888888889
3,1,0,1,566,2.888888889
3,1,6,1,774,2.888888889
3,0,4,1,552,2.888888889
3,1,6,1,479,2.888888889
3,1,4,1,559,2.888888889
3,0,0,1,1048,2.888888889
3,1,0,1,455,2.888888889
3,1,2,1,535,2.888888889
3,0,6,1,697,2.888888889
3,1,6,1,559,2.888888889
3,1,2,1,599,2.888888889
3,1,0,1,567,2.888888889
3,0,4,1,536,2.888888889
3,1,2,1,527,2.888888889
3,1,4,1,744,2.888888889
3,0,2,1,623,2.888888889
3,0,6,1,487,2.888888889
3,0,2,1,512,2.888888889
3,1,6,1,510,2.888888889
3,0,0,1,558,2.888888889
3,1,0,1,543,2.888888889
3,0,0,1,432,2.888888889
3,0,4,1,431,2.888888889
3,1,4,1,656,2.888888889
3,0,4,1,824,2.888888889
3,1,4,1,526,2.888888889
3,0,0,1,368,2.888888889
3,1,6,1,462,2.888888889
3,0,0,1,663,2.888888889
3,1,0,1,368,2.888888889
3,0,6,1,488,2.888888889
3,1,2,1,431,2.888888889
3,1,6,1,736,2.888888889
3,1,2,1,911,2.888888889
3,0,4,1,471,2.888888889
3,0,2,1,504,2.888888889
3,1,0,1,447,2.888888889
3,0,6,1,687,2.888888889
3,1,4,1,1351,2.888888889
3,0,2,1,663,2.888888889
3,1,2,0,730,2.888888889
3,1,6,1,631,2.888888889
3,0,6,1,623,2.888888889
3,1,2,1,464,2.888888889
3,0,0,1,451,2.888888889
3,0,4,1,583,2.888888889
3,1,0,1,465,2.888888889
3,1,4,1,594,2.888888889
3,0,6,1,545,2.888888889
3,0,2,1,471,2.888888889
3,1,4,1,712,2.888888889
3,0,2,1,536,2.888888889
3,0,4,1,447,2.888888889
3,1,0,1,623,2.888888889
3,1,6,1,776,2.888888889
3,0,0,1,431,2.888888889
3,0,0,1,658,2.888888889
3,1,4,1,447,2.888888889
3,0,6,1,615,2.888888889
3,0,6,1,455,2.888888889
3,1,6,1,415,2.888888889
3,1,2,1,575,2.888888889
3,1,0,1,471,2.888888889
3,0,4,1,375,2.888888889
3,1,6,1,583,2.888888889
3,1,2,0,463,2.888888889
3,0,4,1,559,2.888888889
3,0,2,1,592,2.888888889
3,0,0,1,479,2.888888889
3,0,2,1,409,2.888888889
3,1,0,1,527,2.888888889
3,1,4,1,665,2.888888889
3,0,4,0,1209,2.888888889
3,0,6,1,527,2.888888889
3,0,2,1,388,2.888888889
3,1,4,1,479,2.888888889
3,0,0,1,951,2.888888889
3,1,6,1,663,2.888888889
3,0,2,1,415,2.888888889
3,0,6,1,497,2.888888889
3,1,0,1,423,2.888888889
3,1,6,1,502,2.888888889
3,1,2,1,559,2.888888889
3,1,4,1,550,2.888888889
3,0,4,1,575,2.888888889
3,1,2,1,455,2.888888889
3,1,0,1,520,2.888888889
3,0,0,1,487,2.888888889
3,1,2,1,817,2.888888889
3,1,4,0,1061,2.888888889
3,1,4,1,687,2.888888889
3,0,4,1,470,2.888888889
3,1,0,1,551,2.888888889
3,0,2,1,600,2.888888889
3,1,0,1,647,2.888888889
3,0,6,1,438,2.888888889
3,1,6,1,647,2.888888889
3,0,6,1,424,2.888888889
3,0,2,1,423,2.888888889
3,1,6,1,543,2.888888889
3,0,0,1,439,2.888888889
3,1,2,1,567,2.888888889
3,0,4,1,432,2.888888889
3,0,0,1,383,2.888888889
3,0,4,1,929,2.888888889
3,1,0,1,399,2.888888889
3,0,2,1,335,2.888888889
3,0,2,1,359,2.888888889
3,1,2,1,526,2.888888889
3,0,4,1,479,2.888888889
3,1,4,0,472,2.888888889
3,1,6,1,455,2.888888889
3,0,6,1,607,2.888888889
3,1,6,1,425,2.888888889
3,1,0,1,454,2.888888889
3,1,2,1,567,2.888888889
3,0,0,1,478,2.888888889
3,0,0,1,445,2.888888889
3,0,6,1,446,2.888888889
3,1,4,1,535,2.888888889
3,0,0,0,561,2.888888889
3,0,2,1,616,2.888888889
3,0,4,1,407,2.888888889
3,1,4,1,542,2.888888889
3,0,6,1,478,2.888888889
3,1,2,1,391,2.888888889
3,1,0,1,559,2.888888889
3,1,6,1,559,2.888888889
4,1,0,1,739,1.888888889
4,1,6,1,831,1.888888889
4,1,6,1,830,1.888888889
4,0,6,1,1079,1.888888889
4,0,2,1,1149,1.888888889
4,0,0,1,806,1.888888889
4,1,4,0,911,1.888888889
4,1,2,1,1079,1.888888889
4,0,0,1,806,1.888888889
4,1,4,1,1134,1.888888889
4,0,2,1,878,1.888888889
4,0,4,1,1325,1.888888889
4,0,4,1,1110,1.888888889
4,1,2,1,990,1.888888889
4,0,6,1,910,1.888888889
4,1,0,1,1070,1.888888889
4,0,2,1,1043,1.888888889
4,1,2,1,878,1.888888889
4,1,4,1,1012,1.888888889
4,0,4,1,990,1.888888889
4,1,6,1,958,1.888888889
4,1,4,1,868,1.888888889
4,1,0,1,1014,1.888888889
4,1,6,1,949,1.888888889
4,1,0,1,862,1.888888889
4,0,4,1,846,1.888888889
4,0,6,1,988,1.888888889
4,1,2,1,878,1.888888889
4,0,2,1,1022,1.888888889
4,0,0,1,949,1.888888889
4,0,6,1,1902,1.888888889
4,0,0,1,815,1.888888889
4,1,0,1,886,1.888888889
4,1,2,1,787,1.888888889
4,1,6,0,852,1.888888889
4,0,2,1,1550,1.888888889
4,1,0,1,807,1.888888889
4,1,4,1,784,1.888888889
4,0,4,1,846,1.888888889
4,0,0,1,814,1.888888889
4,0,6,1,998,1.888888889
