Subject,Session,Trial,Accuracy,Target,Distractor,Pair,Distance,JointRank
2,20,81,1,2,6,12,4,8
2,20,82,1,1,4,3,3,5
2,20,83,1,4,6,23,2,10
2,20,84,1,1,2,1,1,3
2,20,85,1,1,7,6,6,8
2,20,86,1,5,6,27,1,11
2,20,87,1,4,5,22,1,9
2,20,88,1,1,8,7,7,9
2,20,89,1,6,9,33,3,15
2,20,90,1,2,3,9,1,5
2,20,91,1,3,9,21,6,12
2,20,92,1,5,7,28,2,12
2,20,93,1,4,9,26,5,13
2,20,94,1,1,9,8,8,10
2,20,95,1,3,4,16,1,7
2,20,96,1,6,7,31,1,13
2,20,97,1,3,5,17,2,8
2,20,98,1,5,9,30,4,14
2,20,99,1,3,8,20,5,11
2,20,100,1,4,8,25,4,12
2,20,101,0,7,8,34,1,15
2,20,102,1,6,8,32,2,14
2,20,103,1,3,7,19,4,10
2,20,104,0,7,9,35,2,16
2,20,105,1,5,8,29,3,13
2,20,106,0,8,9,36,1,17
2,20,107,0,2,4,10,2,6
2,20,108,1,1,5,4,4,6
2,20,109,1,4,9,26,5,13
2,20,110,1,6,8,32,2,14
2,20,111,1,3,7,19,4,10
2,20,112,1,5,7,28,2,12
2,20,113,1,1,7,6,6,8
2,20,114,1,1,9,8,8,10
2,20,115,1,1,6,5,5,7
2,20,116,1,7,8,34,1,15
2,20,117,1,4,5,22,1,9
2,20,118,1,1,2,1,1,3
2,20,119,0,8,9,36,1,17
2,20,120,1,2,6,12,4,8
2,20,121,1,1,8,7,7,9
2,20,122,1,5,6,27,1,11
2,20,123,0,3,4,16,1,7
2,20,124,1,4,7,24,3,11
2,20,125,1,2,5,11,3,7
2,20,126,1,3,9,21,6,12
2,20,127,1,3,8,20,5,11
2,20,128,1,2,7,13,5,9
2,20,129,1,6,7,31,1,13
2,20,130,1,4,6,23,2,10
2,20,131,0,3,6,18,3,9
2,20,132,1,2,9,15,7,11
2,20,133,1,4,8,25,4,12
2,20,134,1,1,5,4,4,6
2,20,135,1,6,9,33,3,15
2,20,136,1,2,4,10,2,6
2,20,137,1,1,3,2,2,4
2,20,138,1,1,4,3,3,5
2,20,139,1,5,9,30,4,14
2,20,140,1,2,8,14,6,10
2,20,141,1,5,8,29,3,13
2,20,142,0,3,5,17,2,8
2,20,143,1,2,3,9,1,5
2,20,144,1,7,9,35,2,16
2,21,1,0,4,9,26,5,13
2,21,2,1,1,9,8,8,10
2,21,3,1,1,2,1,1,3
2,21,4,1,1,7,6,6,8
2,21,5,1,6,8,32,2,14
2,21,6,1,7,9,35,2,16
2,21,7,0,5,8,29,3,13
2,21,8,1,2,9,15,7,11
2,21,9,0,3,8,20,5,11
2,21,10,0,4,7,24,3,11
2,21,11,1,3,7,19,4,10
2,21,12,1,5,9,30,4,14
2,21,13,0,2,4,10,2,6
2,21,14,0,4,8,25,4,12
2,21,15,1,1,6,5,5,7
2,21,16,1,1,3,2,2,4
2,21,17,1,1,8,7,7,9
2,21,18,0,4,6,23,2,10
2,21,19,0,8,9,36,1,17
2,21,20,1,2,7,13,5,9
2,21,21,1,3,4,16,1,7
2,21,22,1,4,5,22,1,9
2,21,23,1,3,6,18,3,9
2,21,24,1,3,5,17,2,8
2,21,25,1,7,8,34,1,15
2,21,26,0,5,6,27,1,11
2,21,27,1,3,9,21,6,12
2,21,28,0,2,3,9,1,5
2,21,29,0,6,9,33,3,15
2,21,30,1,1,5,4,4,6
2,21,31,0,6,7,31,1,13
2,21,32,1,5,7,28,2,12
2,21,33,1,2,6,12,4,8
2,21,34,1,2,5,11,3,7
2,21,35,1,1,4,3,3,5
2,21,36,1,2,8,14,6,10
2,21,37,1,5,6,27,1,11
2,21,38,0,4,7,24,3,11
2,21,39,1,6,9,33,3,15
2,21,40,1,3,4,16,1,7
2,21,41,1,2,5,11,3,7
2,21,42,1,2,8,14,6,10
2,21,43,0,6,7,31,1,13
2,21,44,1,1,6,5,5,7
2,21,45,1,5,7,28,2,12
2,21,46,1,1,4,3,3,5
2,21,47,1,4,5,22,1,9
2,21,48,1,4,8,25,4,12
2,21,49,1,2,4,10,2,6
2,21,50,1,3,8,20,5,11
2,21,51,1,2,3,9,1,5
2,21,52,0,1,3,2,2,4
2,21,53,1,1,5,4,4,6
2,21,54,1,4,9,26,5,13
2,21,55,1,5,8,29,3,13
2,21,56,1,5,9,30,4,14
2,21,57,1,2,9,15,7,11
2,21,58,1,1,8,7,7,9
2,21,59,1,3,9,21,6,12
2,21,60,1,3,5,17,2,8
2,21,61,1,3,7,19,4,10
2,21,62,1,2,6,12,4,8
2,21,63,1,3,6,18,3,9
2,21,64,1,2,7,13,5,9
2,21,65,0,7,8,34,1,15
2,21,66,0,1,2,1,1,3
2,21,67,1,8,9,36,1,17
2,21,68,1,1,7,6,6,8
2,21,69,1,4,6,23,2,10
2,21,70,0,7,9,35,2,16
2,21,71,1,1,9,8,8,10
2,21,72,0,6,8,32,2,14
2,21,73,1,5,9,30,4,14
2,21,74,0,3,5,17,2,8
2,21,75,1,4,7,24,3,11
2,21,76,1,3,6,18,3,9
2,21,77,1,1,4,3,3,5
2,21,78,1,2,8,14,6,10
2,21,79,1,1,8,7,7,9
2,21,80,1,3,8,20,5,11
2,21,81,1,1,9,8,8,10
2,21,82,0,8,9,36,1,17
2,21,83,1,3,9,21,6,12
2,21,84,1,2,4,10,2,6
2,21,85,1,6,9,33,3,15
2,21,86,1,2,6,12,4,8
2,21,87,1,6,7,31,1,13
2,21,88,1,4,9,26,5,13
2,21,89,1,2,7,13,5,9
2,21,90,1,6,8,32,2,14
2,21,91,1,7,9,35,2,16
2,21,92,0,7,8,34,1,15
2,21,93,1,4,6,23,2,10
2,21,94,0,1,2,1,1,3
2,21,95,1,4,5,22,1,9
2,21,96,1,1,6,5,5,7
2,21,97,1,5,7,28,2,12
2,21,98,1,5,6,27,1,11
2,21,99,1,3,7,19,4,10
2,21,100,1,4,8,25,4,12
2,21,101,0,2,3,9,1,5
2,21,102,1,5,8,29,3,13
2,21,103,1,3,4,16,1,7
2,21,104,0,2,5,11,3,7
2,21,105,1,1,3,2,2,4
2,21,106,1,1,7,6,6,8
2,21,107,1,1,5,4,4,6
2,21,108,1,2,9,15,7,11
2,21,109,1,5,9,30,4,14
2,21,110,1,4,9,26,5,13
2,21,111,1,1,7,6,6,8
2,21,112,1,4,6,23,2,10
2,21,113,1,6,7,31,1,13
2,21,114,1,5,8,29,3,13
2,21,115,1,5,6,27,1,11
2,21,116,1,6,9,33,3,15
2,21,117,1,7,8,34,1,15
2,21,118,0,4,5,22,1,9
2,21,119,1,2,4,10,2,6
2,21,120,1,1,3,2,2,4
2,21,121,1,6,8,32,2,14
2,21,122,1,2,8,14,6,10
2,21,123,1,7,9,35,2,16
2,21,124,1,1,8,7,7,9
2,21,125,0,8,9,36,1,17
2,21,126,1,1,6,5,5,7
2,21,127,1,1,2,1,1,3
2,21,128,1,4,7,24,3,11
2,21,129,1,3,8,20,5,11
2,21,130,1,2,3,9,1,5
2,21,131,1,1,5,4,4,6
2,21,132,1,3,7,19,4,10
2,21,133,1,2,6,12,4,8
2,21,134,1,5,7,28,2,12
2,21,135,1,3,9,21,6,12
2,21,136,1,1,9,8,8,10
2,21,137,1,1,4,3,3,5
2,21,138,1,3,6,18,3,9
2,21,139,1,2,9,15,7,11
2,21,140,1,2,5,11,3,7
2,21,141,1,4,8,25,4,12
2,21,142,1,3,5,17,2,8
2,21,143,1,3,4,16,1,7
2,21,144,1,2,7,13,5,9
2,22,1,0,5,7,28,2,12
2,22,2,1,3,9,21,6,12
2,22,3,0,8,9,36,1,17
2,22,4,1,3,6,18,3,9
2,22,5,0,2,3,9,1,5
2,22,6,1,2,4,10,2,6
2,22,7,1,2,6,12,4,8
2,22,8,1,5,6,27,1,11
2,22,9,0,1,5,4,4,6
2,22,10,0,5,8,29,3,13
2,22,11,1,1,8,7,7,9
2,22,12,0,4,7,24,3,11
2,22,13,0,3,4,16,1,7
2,22,14,0,1,7,6,6,8
2,22,15,1,1,9,8,8,10
2,22,16,1,1,4,3,3,5
2,22,17,1,6,8,32,2,14
2,22,18,1,6,7,31,1,13
2,22,19,0,4,6,23,2,10
2,22,20,0,4,5,22,1,9
2,22,21,1,1,3,2,2,4
2,22,22,0,4,8,25,4,12
2,22,23,0,7,8,34,1,15
2,22,24,1,2,7,13,5,9
2,22,25,1,2,8,14,6,10
2,22,26,0,1,6,5,5,7
2,22,27,1,2,9,15,7,11
2,22,28,1,3,7,19,4,10
2,22,29,1,3,5,17,2,8
2,22,30,1,6,9,33,3,15
2,22,31,0,4,9,26,5,13
2,22,32,0,7,9,35,2,16
2,22,33,0,5,9,30,4,14
2,22,34,0,1,2,1,1,3
2,22,35,1,2,5,11,3,7
2,22,36,1,3,8,20,5,11
2,22,37,1,5,7,28,2,12
2,22,38,1,1,9,8,8,10
2,22,39,0,4,6,23,2,10
2,22,40,1,1,2,1,1,3
2,22,41,1,2,7,13,5,9
2,22,42,0,4,7,24,3,11
2,22,43,1,2,9,15,7,11
2,22,44,1,4,8,25,4,12
2,22,45,1,1,3,2,2,4
2,22,46,0,4,9,26,5,13
2,22,47,1,8,9,36,1,17
2,22,48,1,6,7,31,1,13
2,22,49,1,3,7,19,4,10
2,22,50,1,2,8,14,6,10
2,22,51,1,1,4,3,3,5
2,22,52,0,1,6,5,5,7
2,22,53,1,1,7,6,6,8
2,22,54,0,5,6,27,1,11
2,22,55,1,5,9,30,4,14
2,22,56,1,2,4,10,2,6
2,22,57,1,3,6,18,3,9
2,22,58,1,2,5,11,3,7
2,22,59,1,1,5,4,4,6
2,22,60,1,1,8,7,7,9
2,22,61,1,6,9,33,3,15
2,22,62,1,3,8,20,5,11
2,22,63,0,2,3,9,1,5
2,22,64,1,3,9,21,6,12
2,22,65,0,4,5,22,1,9
2,22,66,1,7,9,35,2,16
2,22,67,1,3,5,17,2,8
2,22,68,1,6,8,32,2,14
2,22,69,0,5,8,29,3,13
2,22,70,1,2,6,12,4,8
2,22,71,1,3,4,16,1,7
2,22,72,0,7,8,34,1,15
2,22,73,1,2,7,13,5,9
2,22,74,0,4,7,24,3,11
2,22,75,1,6,9,33,3,15
2,22,76,1,1,7,6,6,8
2,22,77,1,6,7,31,1,13
2,22,78,1,2,9,15,7,11
2,22,79,1,5,8,29,3,13
2,22,80,1,3,8,20,5,11
2,22,81,1,1,8,7,7,9
2,22,82,1,8,9,36,1,17
2,22,83,1,3,5,17,2,8
2,22,84,0,4,9,26,5,13
2,22,85,1,3,6,18,3,9
2,22,86,1,2,8,14,6,10
2,22,87,1,1,9,8,8,10
2,22,88,1,3,7,19,4,10
2,22,89,1,5,7,28,2,12
2,22,90,1,7,8,34,1,15
2,22,91,1,7,9,35,2,16
2,22,92,1,1,6,5,5,7
2,22,93,0,5,6,27,1,11
2,22,94,0,1,3,2,2,4
2,22,95,1,3,4,16,1,7
2,22,96,1,3,9,21,6,12
2,22,97,0,4,6,23,2,10
2,22,98,1,4,5,22,1,9
2,22,99,1,4,8,25,4,12
2,22,100,1,1,4,3,3,5
2,22,101,1,6,8,32,2,14
2,22,102,0,1,2,1,1,3
